,Unnamed: 0,NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost
0,2.0,wt040_001,0.8754280000000001,0.8441200000000001,0.208778,0.208787,0.579793,0.046533,0.122161,0.002283,438,439,0.002283,40,4/10/2019,4,1,0.8,7,40,4,31944,11088
1,3.0,wt040_001,0.919655,0.766284,0.13199,0.131998,0.597075,0.035142,0.036475,0.002283,438,439,0.002283,45,4/10/2019,4,1,0.8,1,40,4,31944,10664
2,4.0,wt040_001,0.9088,0.867123,0.246071,0.246077,0.578882,0.039213,0.17265,0.002283,438,439,0.002283,40,4/10/2019,4,1,0.8,8,40,4,31944,10960
3,5.0,wt040_001,0.945456,0.796643,0.144627,0.14463299999999998,0.610288,0.032565,0.029311,0.002283,438,439,0.002283,40,4/10/2019,4,1,0.8,3,40,4,31944,10664
4,6.0,wt040_001,0.945005,0.764029,0.143448,0.143455,0.5909310000000001,0.026613,0.055529,0.002283,438,439,0.002283,40,4/10/2019,4,1,0.8,4,40,4,31944,10814
5,7.0,wt040_001,0.938491,0.915046,0.278737,0.278741,0.589919,0.044897,0.191769,0.002283,438,439,0.002283,40,4/10/2019,4,1,0.8,6,40,4,31944,10960
6,8.0,wt040_001,0.978875,0.951766,0.28628600000000004,0.286297,0.607364,0.054289,0.197813,0.002283,438,439,0.002283,45,4/10/2019,4,1,0.8,5,40,4,31944,11088
7,9.0,wt040_001,1.024386,0.914765,0.28406,0.284067,0.5917859999999999,0.033248,0.171418,0.002283,438,439,0.002283,40,4/10/2019,4,1,0.8,2,40,4,31944,10332
8,10.0,wt040_001,1.182862,1.126091,0.482624,0.482631,0.5764699999999999,0.0,0.42138,0.002283,438,439,0.002283,42,4/10/2019,4,1,0.8,10,40,4,408398,94246
9,11.0,wt040_001,1.262924,1.220222,0.7962600000000001,0.796266,0.351749,0.07080800000000001,0.5680029999999999,0.037671,584,606,0.037671,170,4/10/2019,4,1,0.8,7,40,2,63342,29536
10,12.0,wt040_001,1.348257,0.951819,0.556031,0.556036,0.352441,0.038348,0.154284,0.037671,584,606,0.037671,170,4/10/2019,4,1,0.8,3,40,2,63342,28318
11,13.0,wt040_001,1.438828,1.038206,0.629076,0.629081,0.355314,0.049195,0.285613,0.037671,584,606,0.037671,163,4/10/2019,4,1,0.8,4,40,2,63342,29168
12,14.0,wt040_001,1.5325030000000002,1.133244,0.7072470000000001,0.707254,0.370622,0.053676,0.334181,0.037671,584,606,0.037671,178,4/10/2019,4,1,0.8,1,40,2,63342,28222
13,15.0,wt040_001,1.536852,1.502246,1.084271,1.084276,0.344664,0.072326,0.8243360000000001,0.037671,584,606,0.037671,163,4/10/2019,4,1,0.8,8,40,2,63342,29534
14,16.0,wt040_001,1.564979,1.259026,0.8431559999999999,0.843158,0.365543,0.048755,0.487782,0.037671,584,606,0.037671,167,4/10/2019,4,1,0.8,2,40,2,63342,29206
15,18.0,wt040_001,1.768368,1.724775,1.303132,1.303136,0.35075100000000003,0.07017999999999999,1.013133,0.037671,584,606,0.037671,170,4/10/2019,4,1,0.8,5,40,2,63342,29490
16,19.0,wt040_006,1.340992,1.212427,0.770316,0.77032,0.398343,0.043302,0.354238,0.002839,3875,3886,0.002839,241,4/10/2019,4,1,0.8,1,40,2,60474,14193
17,20.0,wt040_001,2.034635,1.994801,1.583364,1.5833700000000002,0.339617,0.069503,1.305837,0.037671,584,606,0.037671,170,4/10/2019,4,1,0.8,6,40,2,63342,29544
18,21.0,wt040_006,0.777799,0.7049,0.145341,0.145426,0.5235989999999999,0.031197000000000006,0.073424,0.000843,2372,2374,0.000843,68,4/10/2019,4,1,0.8,2,40,4,31002,5408
19,22.0,wt040_006,0.8196,0.731071,0.13386199999999998,0.133867,0.56833,0.026564,0.05033,0.000843,2372,2374,0.000843,66,4/10/2019,4,1,0.8,1,40,4,31002,4840
20,23.0,wt040_006,0.812786,0.752095,0.130919,0.130926,0.583766,0.035454,0.041528,0.000843,2372,2374,0.000843,65,4/10/2019,4,1,0.8,3,40,4,31002,4812
21,24.0,wt040_006,0.756084,0.691821,0.121814,0.12182,0.537774,0.027535000000000004,0.048182,0.000843,2372,2374,0.000843,67,4/10/2019,4,1,0.8,4,40,4,31002,5402
22,25.0,wt040_006,1.295023,1.149569,0.707186,0.7071930000000001,0.388858,0.047666,0.259646,0.002839,3875,3886,0.002839,258,4/10/2019,4,1,0.8,3,40,2,60474,14178
23,26.0,wt040_006,1.356663,1.200141,0.8196450000000001,0.81965,0.339827,0.037448,0.4229,0.002839,3875,3886,0.002839,240,4/10/2019,4,1,0.8,4,40,2,60474,15934
24,27.0,wt040_006,1.598857,1.462252,1.052816,1.052823,0.361151,0.043399,0.6805140000000001,0.002839,3875,3886,0.002839,226,4/10/2019,4,1,0.8,2,40,2,60474,14970
25,28.0,wt040_006,0.810793,0.7735810000000001,0.171825,0.171829,0.5717810000000001,0.029269,0.092892,0.000843,2372,2374,0.000843,66,4/10/2019,4,1,0.8,5,40,4,31002,5368
26,30.0,wt040_006,0.8507020000000001,0.818461,0.248502,0.248506,0.529058,0.040136,0.152419,0.000843,2372,2374,0.000843,65,4/10/2019,4,1,0.8,7,40,4,31002,5336
27,31.0,wt040_006,0.930974,0.890589,0.317268,0.317271,0.535301,0.038039,0.224727,0.000843,2372,2374,0.000843,68,4/10/2019,4,1,0.8,6,40,4,31002,5992
28,32.0,wt040_006,0.90826,0.87964,0.29183600000000004,0.291843,0.54243,0.043892,0.191659,0.000843,2372,2374,0.000843,67,4/10/2019,4,1,0.8,8,40,4,31002,5740
29,33.0,wt040_006,1.9245330000000005,1.883371,1.482173,1.482178,0.338661,0.058553,1.043799,0.002839,3875,3886,0.002839,258,4/10/2019,4,1,0.8,7,40,2,60474,16304
30,34.0,wt040_006,1.935099,1.894425,1.503818,1.503824,0.327127,0.055842,1.171667,0.002839,3875,3886,0.002839,226,4/10/2019,4,1,0.8,6,40,2,60474,16546
31,35.0,wt040_001,2.982766,2.884728,2.401238,2.401248,0.328674,0.0,2.146523,0.037671,584,606,0.037671,160,4/10/2019,4,1,0.8,10,40,2,813151,252582
32,37.0,wt040_006,2.061078,2.012612,1.607802,1.60781,0.332942,0.063327,1.224044,0.002839,3875,3886,0.002839,240,4/10/2019,4,1,0.8,8,40,2,60474,17168
33,38.0,wt040_011,0.7116,0.675275,0.169836,0.16984200000000002,0.480873,0.020126,0.050267,0.000349,5735,5737,0.000349,101,4/10/2019,4,1,0.8,1,40,4,30040,3876
34,39.0,wt040_006,1.301878,1.2521950000000002,0.660385,0.6603899999999999,0.537292,0.0,0.5786100000000001,0.000843,2372,2374,0.000843,68,4/10/2019,4,1,0.8,10,40,4,392513,47178
35,40.0,wt040_006,2.263736,2.219298,1.82476,1.824763,0.341296,0.052532,1.447714,0.002839,3875,3886,0.002839,252,4/10/2019,4,1,0.8,5,40,2,60474,16396
36,41.0,wt040_011,0.766483,0.693983,0.203714,0.203718,0.475085,0.013804,0.097148,0.000349,5735,5737,0.000349,94,4/10/2019,4,1,0.8,2,40,4,30040,4096
37,42.0,wt040_011,1.222317,1.123503,0.7345010000000001,0.734504,0.353705,0.034787,0.332368,0.002606,9592,9617,0.002606,265,4/10/2019,4,1,0.8,1,40,2,54204,10860
38,43.0,wt040_011,0.696696,0.635818,0.123256,0.12326199999999997,0.489738,0.021559,0.030643,0.000349,5735,5737,0.000349,103,4/10/2019,4,1,0.8,3,40,4,30040,3833
39,44.0,wt040_011,1.230121,1.129881,0.7297739999999999,0.729781,0.367109,0.02472,0.305889,0.002606,9592,9617,0.002606,268,4/10/2019,4,1,0.8,3,40,2,54204,10990
40,45.0,wt040_011,1.30519,1.232866,0.8312370000000001,0.831241,0.358781,0.041852,0.428662,0.002606,9592,9617,0.002606,260,4/10/2019,4,1,0.8,4,40,2,54204,11506
41,46.0,wt040_011,1.533172,1.472918,1.0876629999999998,1.087668,0.350229,0.030801,0.651575,0.002606,9592,9617,0.002606,270,4/10/2019,4,1,0.8,2,40,2,54204,11734
42,47.0,wt040_011,0.714383,0.692991,0.180437,0.180441,0.491058,0.017825999999999998,0.065011,0.000349,5735,5737,0.000349,100,4/10/2019,4,1,0.8,4,40,4,30040,4110
43,49.0,wt040_011,0.798319,0.766243,0.229989,0.229991,0.501516,0.03383,0.122942,0.000349,5735,5737,0.000349,101,4/10/2019,4,1,0.8,5,40,4,30040,4754
44,50.0,wt040_011,0.803489,0.771142,0.242425,0.242433,0.49248,0.031504000000000004,0.130325,0.000349,5735,5737,0.000349,103,4/10/2019,4,1,0.8,7,40,4,30040,4638
45,51.0,wt040_011,1.70143,1.655564,1.239718,1.239724,0.357112,0.053678,0.8425870000000001,0.002606,9592,9617,0.002606,268,4/10/2019,4,1,0.8,7,40,2,54204,14356
46,52.0,wt040_011,1.080056,1.019092,0.5186529999999999,0.51866,0.467123,0.029038,0.389418,0.000349,5735,5737,0.000349,94,4/10/2019,4,1,0.8,6,40,4,30040,4926
47,53.0,wt040_011,1.039579,1.014875,0.489521,0.4895270000000001,0.485736,0.034589,0.351839,0.000349,5735,5737,0.000349,100,4/10/2019,4,1,0.8,8,40,4,30040,4738
48,54.0,wt040_011,1.885602,1.868487,1.436231,1.436238,0.368557,0.059866,1.033176,0.002606,9592,9617,0.002606,270,4/10/2019,4,1,0.8,6,40,2,54204,14262
49,55.0,wt040_011,1.961086,1.912349,1.501012,1.501018,0.353065,0.053989,1.086193,0.002606,9592,9617,0.002606,265,4/10/2019,4,1,0.8,5,40,2,54204,14038
50,56.0,wt040_011,1.970428,1.92178,1.504341,1.504349,0.366322,0.045685,1.099434,0.002606,9592,9617,0.002606,260,4/10/2019,4,1,0.8,8,40,2,54204,14778
51,57.0,wt040_016,1.393154,1.296295,0.74027,0.740275,0.529643,0.024816,0.228176,0.002169,38273,38356,0.002169,329,4/10/2019,4,1,0.8,3,40,2,56874,10331
52,59.0,wt040_006,3.809757,3.756484,3.160887,3.160895,0.393646,0.0,2.783914,0.002839,3875,3886,0.002839,244,4/10/2019,4,1,0.8,10,40,2,771815,118744
53,60.0,wt040_016,1.7197360000000002,1.599071,1.042684,1.042687,0.5263869999999999,0.029787,0.515422,0.002169,38273,38356,0.002169,322,4/10/2019,4,1,0.8,1,40,2,56874,10358
54,61.0,wt040_016,1.114528,1.054286,0.13541199999999998,0.135418,0.895882,0.019972,0.047858,0.000838,21479,21497,0.000838,79,4/10/2019,4,1,0.8,1,40,4,32854,3800
55,62.0,wt040_016,1.658362,1.529381,0.97719,0.977195,0.516143,0.035813,0.451013,0.002169,38273,38356,0.002169,322,4/10/2019,4,1,0.8,4,40,2,56874,11062
56,63.0,wt040_016,1.085767,1.029618,0.108331,0.108336,0.8950040000000001,0.023912,0.028753,0.000838,21479,21497,0.000838,68,4/10/2019,4,1,0.8,3,40,4,32854,3786
57,64.0,wt040_016,1.179407,1.110992,0.205027,0.205032,0.8821379999999999,0.017674000000000002,0.110633,0.000698,21482,21497,0.000698,99,4/10/2019,4,1,0.8,2,40,4,32854,3794
58,65.0,wt040_016,1.116637,1.051341,0.159984,0.15999000000000002,0.870024,0.01916,0.07914299999999999,0.000698,21482,21497,0.000698,95,4/10/2019,4,1,0.8,4,40,4,32854,3938
59,66.0,wt040_016,1.177543,1.1402219999999998,0.220061,0.220066,0.8843559999999999,0.030043,0.143818,0.000838,21479,21497,0.000838,79,4/10/2019,4,1,0.8,5,40,4,32854,5638
60,67.0,wt040_011,2.2021490000000004,2.133228,1.5773700000000002,1.577376,0.48289,0.0,1.441042,0.000349,5735,5737,0.000349,104,4/10/2019,4,1,0.8,10,40,4,398502,36758
61,68.0,wt040_016,2.097242,2.04057,1.466874,1.466879,0.522845,0.045475,0.964165,0.002169,38273,38356,0.002169,322,4/10/2019,4,1,0.8,5,40,2,56874,15846
62,69.0,wt040_016,2.189094,2.093134,1.534384,1.534388,0.515706,0.042149,0.993167,0.002169,38273,38356,0.002169,326,4/10/2019,4,1,0.8,2,40,2,56874,10976
63,70.0,wt040_016,1.221592,1.157449,0.234051,0.234058,0.8812,0.039444,0.149493,0.000838,21479,21497,0.000838,68,4/10/2019,4,1,0.8,7,40,4,32854,5584
