n,m,Id,first_size_graph_AFFS,first_size_graph_AFFC,first_size_graph_AFBS,first_size_graph_AFBC,first_size_graph_AFZFS,first_size_graph_AFZFC,first_size_graph_AFZBS,first_size_graph_AFZBC,first_size_graph_TI,first_size_graph_ATI,gap_AFFS,gap_AFFC,gap_AFBS,gap_AFBC,gap_AFZFS,gap_AFZFC,gap_AFZBS,gap_AFZBC,gap_TI,gap_ATI,global_lower_bound_AFFS,global_lower_bound_AFFC,global_lower_bound_AFBS,global_lower_bound_AFBC,global_lower_bound_AFZFS,global_lower_bound_AFZFC,global_lower_bound_AFZBS,global_lower_bound_AFZBC,global_lower_bound_TI,global_lower_bound_ATI,global_upper_bound_AFFS,global_upper_bound_AFFC,global_upper_bound_AFBS,global_upper_bound_AFBC,global_upper_bound_AFZFS,global_upper_bound_AFZFC,global_upper_bound_AFZBS,global_upper_bound_AFZBC,global_upper_bound_TI,global_upper_bound_ATI,nb_generated_col_AFFS,nb_generated_col_AFFC,nb_generated_col_AFBS,nb_generated_col_AFBC,nb_generated_col_AFZFS,nb_generated_col_AFZFC,nb_generated_col_AFZBS,nb_generated_col_AFZBC,nb_generated_col_TI,nb_generated_col_ATI,opt_AFFS,opt_AFFC,opt_AFBS,opt_AFBC,opt_AFZFS,opt_AFZFC,opt_AFZBS,opt_AFZBC,opt_TI,opt_ATI,reduction_AFFS,reduction_AFFC,reduction_AFBS,reduction_AFBC,reduction_AFZFS,reduction_AFZFC,reduction_AFZBS,reduction_AFZBC,reduction_TI,reduction_ATI,tot_cputime_AFFS,tot_cputime_AFFC,tot_cputime_AFBS,tot_cputime_AFBC,tot_cputime_AFZFS,tot_cputime_AFZFC,tot_cputime_AFZBS,tot_cputime_AFZBC,tot_cputime_TI,tot_cputime_ATI,tot_lb_AFFS,tot_lb_AFFC,tot_lb_AFBS,tot_lb_AFBC,tot_lb_AFZFS,tot_lb_AFZFC,tot_lb_AFZBS,tot_lb_AFZBC,tot_lb_TI,tot_lb_ATI
40,2,1,63342,63342,63342,63342,63342,63342,63342,63342,41575,813151,0.037671232231656984,0.037671232231656984,0.037671232231656984,0.037671232231656984,0.037671232231656984,0.037671232231656984,0.037671232231656984,0.037671232231656984,0.037671232231656984,0.037671232231656984,584,584,584,584,584,584,584,584,584,584,606,606,606,606,606,606,606,606,606,606,178,167,170,163,170,170,170,163,156,160,False,False,False,False,False,False,False,False,False,False,0.5544504436147508,0.5389157273130164,0.5529348615365328,0.5395156452189777,0.5344321303316215,0.5335796154126239,0.533705913919142,0.5337374885457715,0.29534576066637774,0.6893787254757242,1.1332440000000001,1.259026,0.9518190000000001,1.038206,1.724775,1.9948009999999998,1.220222,1.502246,0.569114,2.884728,0.7072470000000001,0.8431559999999999,0.556031,0.629076,1.303132,1.583364,0.7962600000000001,1.084271,0.155051,2.401238
40,2,6,60474,60474,60474,60474,60474,60474,60474,60474,39451,771815,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,3875,3875,3875,3875,3875,3875,3875,3875,3875,3875,3886,3886,3886,3886,3886,3886,3886,3886,3886,3886,241,226,258,240,252,226,258,240,251,244,False,False,False,False,False,False,False,False,False,False,0.7653040976160779,0.7524556007416004,0.7655521380962802,0.7365148658806013,0.7288752190903715,0.7263948142883488,0.730396534035612,0.7161094023759614,0.5975513928519542,0.8461496602154064,1.2124270000000001,1.462252,1.149569,1.200141,2.2192979999999998,1.894425,1.883371,2.012612,0.905654,3.7564839999999995,0.770316,1.052816,0.707186,0.8196450000000001,1.82476,1.503818,1.482173,1.607802,0.324381,3.160887
40,2,11,54204,54204,54204,54204,54204,54204,54204,54204,40136,785193,0.002606338612795727,0.002606338612795727,0.002606338612795727,0.002606338612795727,0.002606338612795727,0.002606338612795727,0.002606338612795727,0.002606338612795727,0.002606338612795727,0.002606338612795727,9592,9592,9592,9592,9592,9592,9592,9592,9592,9592,9617,9617,9617,9617,9617,9617,9617,9617,9617,9617,265,270,268,260,265,270,268,260,261,258,False,False,False,False,False,False,False,False,False,False,0.7996457825843176,0.7835215113131222,0.7972474355988995,0.7877278429490863,0.7410154232023279,0.7368828868582229,0.735148697499536,0.7273632942084096,0.7352999800494494,0.8833407837297539,1.1235030000000001,1.472918,1.129881,1.232866,1.912349,1.868487,1.655564,1.9217799999999998,0.988517,3.912784,0.7345010000000001,1.0876629999999998,0.7297739999999999,0.8312370000000001,1.501012,1.436231,1.239718,1.504341,0.359034,3.3716209999999998
40,2,16,56874,56874,56874,56874,56874,56874,56874,56874,41084,803638,0.0021686306267685754,0.0021686306267685754,0.0021686306267685754,0.0021686306267685754,0.0021686306267685754,0.0021686306267685754,0.0021686306267685754,0.0021686306267685754,0.0022733805424041964,0.002037724018486409,38273,38273,38273,38273,38273,38273,38273,38273,38269,38278,38356,38356,38356,38356,38356,38356,38356,38356,38356,38356,322,326,329,322,322,326,329,322,356,322,False,False,False,False,False,False,False,False,False,False,0.8178781165239323,0.8070119914054399,0.818352850145614,0.80549987690675,0.7213841122354435,0.7243028448724496,0.721559939502733,0.7245841685001128,0.8188345827860277,0.9253233421006407,1.599071,2.093134,1.296295,1.5293809999999999,2.04057,2.956916,2.3107849999999996,2.677771,1.621421,5.0476730000000005,1.042684,1.534384,0.74027,0.97719,1.466874,2.372716,1.7207,2.079991,0.744854,4.375717
40,2,21,43044,43044,43044,43044,43044,43044,43044,43044,36792,719985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8725819800047303e-05,0.0,41048,41048,41048,41048,41048,41048,41048,41048,41046,41048,41048,41048,41048,41048,41048,41048,41048,41048,41048,41048,441,399,374,324,428,393,374,324,504,378,True,True,True,True,True,True,True,True,False,True,0.9999999999767679,0.9999999999767679,0.9999999999767679,0.9999999999767679,0.9999999999767679,0.8498745469554438,0.9999999999767679,0.8504785800378571,0.9559143291760188,0.947558629692358,1.642077,1.743098,1.444697,1.4015469999999999,2.612526,2.993693,2.267789,2.2881150000000003,2.566601,5.323625,1.085887,1.159133,0.878885,0.8406899999999999,2.0188639999999998,2.4224080000000003,1.674373,1.71143,1.572014,4.664874
40,2,26,68770,68770,68770,68770,68770,68770,68770,68770,42529,831836,0.0609756023200485,0.0609756023200485,0.0609756023200485,0.0609756023200485,0.0609756023200485,0.0609756023200485,0.0609756023200485,0.0609756023200485,0.0609756023200485,0.0609756023200485,82,82,82,82,82,82,82,82,82,82,87,87,87,87,87,87,87,87,87,87,132,117,127,124,125,123,127,124,118,121,False,False,False,False,False,False,False,False,False,False,0.4613639668392997,0.44894576122656765,0.4613639668392997,0.4478697106231225,0.44580485676245746,0.446590082878485,0.44580485676245746,0.446590082878485,0.26445484257178736,0.5968784712364013,0.871699,1.0175100000000001,0.754984,0.879342,1.402024,1.597501,1.1574,1.174187,0.423592,2.276275,0.647493,0.7814180000000001,0.52083,0.6567810000000001,1.145818,1.342763,0.9002,0.9185690000000001,0.120476,1.8953209999999998
40,2,31,70274,70274,70274,70274,70274,70274,70274,70274,45835,896303,0.01436934535825081,0.01436934535825081,0.01436934535825081,0.01436934535825081,0.01436934535825081,0.01436934535825081,0.01436934535825081,0.01436934535825081,0.016262330001966595,0.01436934535825081,3758,3758,3758,3758,3758,3758,3758,3758,3751,3758,3812,3812,3812,3812,3812,3812,3812,3812,3812,3812,255,236,255,236,287,240,255,236,223,240,False,False,False,False,False,False,False,False,False,False,0.7123829581251618,0.6991490451561154,0.6844779007786027,0.6606710874482644,0.660101886890456,0.6609556877271686,0.6597603665557709,0.6496001365988902,0.5651576306192831,0.8070540877350549,1.7496040000000002,1.716941,1.5603209999999998,1.65895,3.6862489999999997,2.648032,1.8886459999999998,2.259298,1.054772,4.889482,1.2584469999999999,1.2285540000000001,1.052251,1.165736,3.167322,2.143091,1.3658370000000002,1.7015930000000001,0.29367,4.341525
40,2,36,63816,63816,63816,63816,63816,63816,63816,63816,40515,792563,0.0047833427079503445,0.0047833427079503445,0.0047833427079503445,0.0047833427079503445,0.0047833427079503445,0.0047833427079503445,0.0047833427079503445,0.0047833427079503445,0.005160442854981758,0.0047833427079503445,10662,10662,10662,10662,10662,10662,10662,10662,10658,10662,10713,10713,10713,10713,10713,10713,10713,10713,10713,10713,287,272,270,277,287,272,270,277,286,262,False,False,False,False,False,False,False,False,False,False,0.8429547448783541,0.8287263382094032,0.8443650495041312,0.8317976682833177,0.8018678701140487,0.798013037470258,0.800050144151936,0.8009903472357874,0.820461557427608,0.922563884510225,1.8649419999999999,2.557401,1.7350740000000002,1.8508259999999999,3.20303,3.262122,2.364878,2.99922,2.099774,4.78136,0.904863,1.5835299999999999,0.746105,0.895855,2.169552,2.2784720000000003,1.402887,2.018055,0.518428,3.7367169999999996
40,2,41,62304,62304,62304,62304,62304,62304,62304,62304,41502,811789,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,30798,30798,30798,30798,30798,30798,30798,30798,30798,30798,30805,30805,30805,30805,30805,30805,30805,30805,30805,30805,491,441,448,464,491,441,448,464,464,452,False,False,False,False,False,False,False,False,False,False,0.9316737287986057,0.9216422701444267,0.9344664868879291,0.9188816127227966,0.8635721622871152,0.8505713918712993,0.8540061633144901,0.8638610682963556,0.9175943327811288,0.9420477488596889,2.636091,3.0263709999999997,2.0453240000000004,2.447736,4.475642,4.674161,3.198738,4.018395,2.257684,7.829391999999999,1.9736490000000002,2.3758310000000002,1.363996,1.78529,3.8017800000000004,3.9817620000000002,2.514106,3.349565,1.257099,6.9953410000000025
40,2,46,36270,36270,36270,36270,36270,36270,36270,36270,30177,590931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,34146,607,517,609,486,578,517,609,486,651,491,True,True,True,True,True,True,True,True,True,True,0.9999999999724289,0.9999999999724289,0.9999999999724289,0.9999999999724289,0.9999999999724289,0.9187758477827743,0.9999999999724289,0.9166804521390494,0.9999999999668622,0.9475945584155382,2.3863990000000004,2.345671,2.120341,1.7287169999999998,2.698368,3.520836,3.235004,2.363674,2.820873,6.735086999999999,1.9827169999999998,1.931109,1.71721,1.2914709999999998,2.289254,3.090199,2.7964900000000004,1.944179,2.111477,6.2531339999999975
