NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_001,40,2,10.462018046004232,10.193972,2.3383520000000004,1.5314810000000003,0.60677800000000026,7.7246389999999998,0.12861800000000034,0.6665639999999966,0.15185299999999913,0,606,606,0.037671232812206794,606,584,453,191,3,21/05/20,5000,1,0.80000000000000004,4,25468,14563,0,0,0,0,0,110,0,0,
wt040_006,40,2,13.437334119997104,13.348267,1.7357669999999992,1.3917449999999985,0.88646799999999892,11.481867999999999,0.12691500000000033,0.58137099999997766,0.090917000000001025,0,3886,3886,0.0028387096766867848,3886,3875,462,262,2,21/05/20,5000,1,0.80000000000000004,4,27343,7883,0,0,0,0,0,110,0,0,
wt040_011,40,2,11.195530309996684,11.117618,3.5594800000000006,2.3985719999999988,0.86721899999999952,7.4478609999999996,0.106325,0.80808499999999395,0.20523200000000053,0,9617,9617,0.0026063386152412075,9617,9592,854,254,6,21/05/20,5000,1,0.80000000000000004,4,26561,5979,0,0,0,0,0,110,0,0,
wt040_016,40,2,511.84151561200269,507.26773200000002,494.24066700000003,271.26991499999986,1.5551919999999999,12.899221000000001,0.12431400000000004,66.218810000012979,27.161955000000344,0,38356,38356,0.0020639026046434176,38356,38277,111892,422,144,21/05/20,5000,1,0.80000000000000004,4,28623,5599,0,0,0,0,0,110,0,0,
wt040_021,40,2,11.18725720900693,11.137376,2.5875339999999998,2.5796620000000008,2.5796639999999993,8.4583370000000002,0.0883610000000008,0.97546699999993436,0.020534000000001384,6.9658451374023196,5153,41048,-0.99971412882419464,41048,143589153,608,608,0,21/05/20,5000,1,0.80000000000000004,4,20451,0,0,0,0,0,0,110,0,0,
wt040_026,40,2,8.8650493460008875,8.7487859999999991,3.6720969999999999,1.8340900000000007,0.36686200000000024,4.9869380000000003,0.086213000000000761,1.2014090000000062,0.5078560000000012,0,87,87,0.060975609012492576,87,82,539,134,5,21/05/20,5000,1,0.80000000000000004,4,29758,18102,0,0,0,0,0,110,0,0,
wt040_031,40,2,13.014136481986498,12.934721000000001,3.8922530000000002,2.864053000000002,0.95353000000000065,8.928609999999999,0.11042400000000008,1.3799039999999785,0.34256899999999924,0,3812,3812,0.014369345392663825,3812,3758,1000,253,4,21/05/20,5000,1,0.80000000000000004,4,34158,10640,0,0,0,0,0,110,0,0,
wt040_036,40,2,77.247361061992706,76.660746000000003,64.815275999999997,39.571074000000046,1.1061529999999991,11.734166,0.1080489999999994,11.310370000001033,4.5438189999998873,0,10713,10713,0.0049718574104153975,10713,10660,17168,350,25,21/05/20,5000,1,0.80000000000000004,4,31597,5504,0,0,0,0,0,110,0,0,
wt040_041,40,2,19.071647400996881,18.901341000000002,4.111578999999999,3.1420180000000002,1.6472929999999995,14.665006,0.12096499999999999,1.1319369999999065,0.14538800000002183,0,30802,30802,0.0001298785635388701,30802,30798,1474,411,4,21/05/20,5000,1,0.80000000000000004,4,30865,2040,0,0,0,0,0,110,0,0,
wt040_046,40,2,12.84752323498833,12.761255,1.8925420000000006,1.885961,1.8859640000000013,10.775833,0.088471000000000188,0.65318999999999861,0.024252999999999858,5.8580036140072291,4979,34146,-0.99970734586810828,34146,116676979,530,530,0,21/05/20,5000,1,0.80000000000000004,4,17388,0,0,0,0,0,0,110,0,0,
wt040_051,40,2,0.23669012499158271,0.20547899999999999,0.042508999999999991,0.035343000000000013,0.035344000000000014,0.00060400000000000037,0.158634,0.035175000000000012,0.028953000000000007,0,0,0,-0.99999999974999998,0,4000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,34810,0,0,0,0,0,0,110,0,0,
wt040_056,40,2,10.241675249999389,10.181131000000001,1.7518620000000009,1.0520400000000034,0.61983700000000042,8.3195149999999991,0.10834600000000094,0.63066300000000375,0.13015200000000426,0,1279,1279,0.0055031446497616782,1279,1272,388,227,4,21/05/20,5000,1,0.80000000000000004,4,31487,14116,0,0,0,0,0,110,0,0,
wt040_061,40,2,1516.4846746849944,1501.5359020000001,1482.7503059999999,859.45366299999876,1.3439920000000001,18.637038,0.14413300000000007,299.77986500007103,147.1412789999867,0,11488,11488,0.016457264199570228,11488,11302,357452,335,464,21/05/20,5000,1,0.80000000000000004,4,34784,10332,0,0,0,0,0,110,0,0,
wt040_066,40,2,1075.7208324189996,1066.3199279999999,1056.450666,600.70748899999558,1.4030520000000006,9.7175960000000003,0.15142900000000026,194.97557300001617,80.843331000003246,0,35279,35279,0.0042413891259823113,35279,35130,261593,373,305,21/05/20,5000,1,0.80000000000000004,4,34477,8412,0,0,0,0,0,110,0,0,
wt040_071,40,2,27.697211995007819,27.465609000000001,15.195669000000001,10.967208000000007,2.1066339999999997,12.126767000000001,0.13919199999999954,2.6643250000000815,0.72013500000000263,0,47952,47952,0.00035464691769365503,47952,47935,4816,465,2,21/05/20,5000,1,0.80000000000000004,4,25074,2402,0,0,0,0,0,110,0,0,
wt040_076,40,2,0.22094625399040524,0.185087,0.049737000000000003,0.042068999999999995,0.042071999999999998,0.00062500000000000056,0.13107099999999999,0.041899999999999993,0.032503999999999977,0,0,0,-0.99999999974999998,0,4000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,31206,0,0,0,0,0,0,110,0,0,
wt040_081,40,2,50.776213514996925,50.164069999999995,30.535630000000001,15.518011000000001,1.2580200000000019,19.449126999999997,0.17491199999999907,6.4224170000001628,2.9463139999998837,0,571,571,0.27050997722725062,573,451,4337,308,14,21/05/20,5000,1,0.80000000000000004,4,33177,33177,0,0,0,0,0,110,0,0,
wt040_086,40,2,29.00394144000893,28.757134999999998,10.403379999999999,7.2529109999999939,1.5433829999999986,18.188760000000002,0.16062900000000013,3.0206750000001357,1.2246569999999934,0,6048,6048,0.0086724482974195379,6048,5996,2754,360,7,21/05/20,5000,1,0.80000000000000004,4,35968,4241,0,0,0,0,0,110,0,0,
wt040_091,40,2,18.833117107002181,18.747894000000002,2.6262040000000013,2.6122340000000008,2.6122359999999993,15.932919,0.1851280000000024,1.2078630000000032,0.046777999999999764,8.632434426068551,2707,26075,-0.97995593765394917,26075,1300884,510,510,0,21/05/20,5000,1,0.80000000000000004,4,35659,462,0,0,0,0,0,110,0,0,
wt040_096,40,2,16.049865690001752,15.919814000000001,4.2522079999999995,3.6464600000000011,2.383858,11.496186999999999,0.16746200000000044,1.3391999999999964,0.10921199999999764,0,66116,66116,9.0757827861280327e-05,66116,66110,1212,545,1,21/05/20,5000,1,0.80000000000000004,4,31251,1602,0,0,0,0,0,110,0,0,
wt040_101,40,2,0.39231706700229552,0.36489500000000002,0.19555900000000001,0.18791399999999997,0.187916,0.00042999999999999983,0.16732899999999998,0.13973799999999997,0.035969000000000029,0,0,0,-0.99999999974999998,0,4000,37,37,0,21/05/20,5000,1,0.80000000000000004,4,37197,0,0,0,0,0,0,110,0,0,
wt040_106,40,2,0.29041888099163771,0.25553300000000001,0.066878000000000021,0.055243999999999988,0.055247999999999964,0.00083199999999999941,0.18400900000000001,0.055085999999999968,0.042896999999999991,0,0,0,-0.99999999974999998,0,4000,2,2,0,21/05/20,5000,1,0.80000000000000004,4,41040,0,0,0,0,0,0,110,0,0,
wt040_111,40,2,79.436928356008139,78.564432999999994,59.570822,38.294280000000029,3.255312,18.813306000000001,0.17665999999999826,10.882349999999768,4.3124149999998949,0,17936,17936,0.0021791361679511013,17936,17897,15479,430,14,21/05/20,5000,1,0.80000000000000004,4,42861,3368,0,0,0,0,0,110,0,0,
wt040_116,40,2,125.17719765201036,124.074332,106.911654,64.950096000000016,2.5062519999999999,17.016799000000002,0.14114800000000116,18.210571000000524,6.8446130000002015,0,25870,25870,0.0041142679706522951,25870,25764,23663,405,24,21/05/20,5000,1,0.80000000000000004,4,34489,6116,0,0,0,0,0,110,0,0,
wt040_121,40,2,18.324936173012247,18.203059,5.6990579999999991,4.376879999999991,2.2451899999999991,12.326740000000001,0.17307800000000029,1.4880839999999207,0.14222099999999749,0,64516,64516,0.00013951974204133629,64516,64507,1837,482,5,21/05/20,5000,1,0.80000000000000004,4,34422,1871,0,0,0,0,0,110,0,0,
wt040_001,40,4,13.974063836998539,13.687711999999999,0.35107999999999961,0.28502600000000022,0.24890899999999938,13.283167000000001,0.049256000000001521,0.14246400000000925,0.024635999999999214,0,439,439,0.0022831050176184819,439,438,177,158,1,21/05/20,5000,1,0.80000000000000004,4,14910,5167,0,0,0,0,0,110,0,0,
wt040_006,40,4,16.399773520999588,16.208033,2.1781740000000021,1.2482119999999988,0.4048240000000014,13.960693000000001,0.064813999999998373,0.36019899999996419,0.11136600000000207,0,2374,2374,0.00084317032004925367,2374,2372,621,178,4,21/05/20,5000,1,0.80000000000000004,4,15247,2697,0,0,0,0,0,110,0,0,
wt040_011,40,4,13.296687909998582,13.246212,0.428113999999999,0.38192899999999952,0.35402399999999901,12.766392,0.051406000000000063,0.18826800000001143,0.016850000000001586,0,5737,5737,0.00034873583254599197,5737,5735,210,190,1,21/05/20,5000,1,0.80000000000000004,4,15629,2024,0,0,0,0,0,110,0,0,
wt040_016,40,4,16.386872860006406,16.255736000000002,2.6159700000000008,1.691017000000004,0.59398300000000148,13.587949999999999,0.04964099999999938,0.46141099999996449,0.10368699999999897,0,21493,21493,0.00041891640288498804,21493,21484,1352,324,3,21/05/20,5000,1,0.80000000000000004,4,17032,1424,0,0,0,0,0,110,0,0,
wt040_021,40,4,13.86004002399568,13.78994,0.59301000000000137,0.58565500000000092,0.58565699999999943,13.136096,0.05695200000000078,0.20396599999999765,0.014939999999999287,2.4157050798118229,6673,22793,-0.99964656904726368,22793,64490673,190,190,0,21/05/20,5000,1,0.80000000000000004,4,13379,0,0,0,0,0,0,110,0,0,
wt040_026,40,4,9.8258660749997944,9.7916819999999998,0.24840699999999849,0.24442400000000042,0.24442599999999892,9.4817260000000001,0.057416999999999163,0.1553140000000095,0.014540999999999471,88000000,0,88,-0.99975280898595575,88,356000,126,126,0,21/05/20,5000,1,0.80000000000000004,4,16423,0,0,0,0,0,0,110,0,0,
wt040_031,40,4,20.096039108000696,20.022026,1.1700039999999987,0.91583099999999718,0.52686299999999875,18.746527,0.10113300000000081,0.39477400000000529,0.070834000000001396,0,2525,2525,0.01161858973893486,2525,2496,353,187,2,21/05/20,5000,1,0.80000000000000004,4,18383,4388,0,0,0,0,0,110,0,0,
