NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_001,0.315207,0.307386,0.086998,0.087001,0.214288,0.000000,0.035157,0.001066,0.037671,584,606,0.037671,151,22/6/2020,3,1,0.800000,9,40,2,41175,29275,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.398325,0.381411,0.041930,0.041933,0.336632,0.000000,0.014193,0.000602,0.002283,438,439,0.002283,69,22/6/2020,3,1,0.800000,9,40,4,21455,10633,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.517310,0.490225,0.214948,0.214971,0.250686,0.022439,0.166767,0.018758,0.002283,438,439,0.002283,70,22/6/2020,3,1,0.800000,4,40,4,29426,10464,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,0.534391,0.485174,0.175553,0.175555,0.305678,0.000000,0.063374,0.001092,0.002839,3875,3886,0.002839,218,22/6/2020,3,1,0.800000,9,40,2,39051,15980,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.996490,0.964374,0.536427,0.536431,0.362757,0.000000,0.449122,0.053974,0.002283,438,439,0.002283,65,22/6/2020,3,1,0.800000,10,40,4,400188,88649,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.137724,1.074798,0.785576,0.785602,0.216652,0.069300,0.642067,0.044149,0.037671,584,606,0.037671,150,22/6/2020,3,1,0.800000,4,40,2,50034,28352,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,0.672910,0.656366,0.032149,0.032151,0.613536,0.000000,0.010144,0.000588,0.000843,2372,2374,0.000843,48,22/6/2020,3,1,0.800000,9,40,4,20571,6086,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,0.883391,0.844351,0.248565,0.248596,0.543074,0.048484,0.199514,0.015944,0.000843,2372,2374,0.000843,56,22/6/2020,3,1,0.800000,4,40,4,30125,5472,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.542571,1.449410,1.082097,1.082127,0.278948,0.085849,0.853570,0.033123,0.002839,3875,3886,0.002839,213,22/6/2020,3,1,0.800000,4,40,2,53827,14271,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,2.065108,2.015296,1.672465,1.672469,0.223948,0.000000,1.490348,0.072039,0.037671,584,606,0.037671,155,22/6/2020,3,1,0.800000,10,40,2,804941,252125,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_011,0.411672,0.394876,0.150851,0.150854,0.235273,0.000000,0.046342,0.000760,0.002606,9592,9617,0.002606,244,22/6/2020,3,1,0.800000,9,40,2,39736,10298,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.186751,1.164232,0.456121,0.456124,0.645198,0.000000,0.374964,0.046155,0.000843,2372,2374,0.000843,52,22/6/2020,3,1,0.800000,10,40,4,384303,46770,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_011,0.488356,0.472438,0.086812,0.086815,0.378510,0.000000,0.019057,0.000456,0.000349,5735,5737,0.000349,164,22/6/2020,3,1,0.800000,9,40,4,20896,3701,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,2.465118,2.425284,2.062729,2.062732,0.270158,0.000000,1.791438,0.097259,0.002839,3875,3886,0.002839,206,22/6/2020,3,1,0.800000,10,40,2,763605,118031,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_011,1.011704,0.987754,0.443982,0.444021,0.500693,0.039333,0.346909,0.020484,0.000349,5735,5737,0.000349,129,22/6/2020,3,1,0.800000,4,40,4,30858,3914,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_011,1.515641,1.477648,1.100274,1.100294,0.292617,0.081392,0.865816,0.029225,0.002606,9592,9617,0.002606,232,22/6/2020,3,1,0.800000,4,40,2,52233,10819,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_011,1.489638,1.445684,0.891400,0.891402,0.494086,0.000000,0.742433,0.046941,0.000349,5735,5737,0.000349,144,22/6/2020,3,1,0.800000,10,40,4,390292,36379,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_016,0.964553,0.940456,0.445146,0.445148,0.488101,0.000000,0.089028,0.001201,0.002273,38269,38356,0.002273,345,22/6/2020,3,1,0.800000,9,40,2,40684,7494,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_016,1.215671,1.179896,0.385087,0.385123,0.755067,0.033409,0.309809,0.020566,0.000559,21482,21494,0.000559,94,22/6/2020,3,1,0.800000,4,40,4,33636,3264,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_011,2.909423,2.837172,2.394155,2.394157,0.338699,0.000000,2.101318,0.095587,0.002606,9592,9617,0.002606,216,22/6/2020,3,1,0.800000,10,40,2,776983,91119,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_016,0.949230,0.911318,0.061177,0.061179,0.840938,0.000000,0.013821,0.000612,0.000698,21479,21494,0.000698,106,22/6/2020,3,1,0.800000,9,40,4,21324,2054,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_016,2.029775,1.965234,1.392057,1.392086,0.512432,0.057390,1.060759,0.029210,0.002169,38273,38356,0.002169,320,22/6/2020,3,1,0.800000,4,40,2,56287,10367,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
