n,m,Inst,first_size_graph_AFBC,first_size_graph_TI,first_size_graph_ATI,gap_AFBC,gap_TI,gap_ATI,global_lower_bound_AFBC,global_lower_bound_TI,global_lower_bound_ATI,global_upper_bound_AFBC,global_upper_bound_TI,global_upper_bound_ATI,nb_generated_col_AFBC,nb_generated_col_TI,nb_generated_col_ATI,opt_AFBC,opt_TI,opt_ATI,reduction_AFBC,reduction_TI,reduction_ATI,tot_cputime_AFBC,tot_cputime_TI,tot_cputime_ATI,tot_lb_AFBC,tot_lb_TI,tot_lb_ATI
40,2,1,50034,41175,804941,0.037671232231656984,0.037671232231656984,0.037671232231656984,584,584,584,606,606,606,150,151,155,False,False,False,0.43334532517021734,0.289010321790188,0.6867782856126265,1.074798,0.307386,2.0152959999999998,0.785576,0.086998,1.672465
40,2,6,53827,39051,763605,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,3875,3875,3875,3886,3886,3886,213,218,206,False,False,False,0.7348728333227772,0.5907915290110166,0.8454292467953386,1.44941,0.485174,2.425284,1.0820969999999999,0.175553,2.062729
40,2,11,52233,39736,776983,0.002606338612795727,0.002606338612795727,0.002606338612795727,9592,9592,9592,9617,9617,9617,232,244,216,False,False,False,0.7928704075815506,0.7408395409517606,0.8827271639136471,1.4776479999999999,0.394876,2.8371720000000002,1.100274,0.150851,2.394155
40,2,16,56287,40684,795428,0.0021686306267685754,0.0022733805424041964,0.002037724018486409,38273,38269,38278,38356,38356,38356,320,345,304,False,False,False,0.8158189279795367,0.815799823006199,0.9251723600364519,1.965234,0.940456,3.896408,1.3920569999999999,0.445146,3.24769
40,2,21,40046,36392,711775,0.0,4.8725819800047303e-05,0.0,41048,41046,41048,41048,41048,41048,459,478,375,True,False,True,0.9609948558916996,0.9454275664721524,0.9475297671301359,2.609078,1.352637,4.026798,1.98233,0.843715,3.6155230000000005
40,2,26,58589,42129,823626,0.0609756023200485,0.0609756023200485,0.0609756023200485,82,82,82,87,87,87,113,115,113,False,False,False,0.3676799399141873,0.2804481473502706,0.5933579075932603,0.90055,0.237752,1.835693,0.673596,0.079239,1.550186
40,2,31,67316,45435,888093,0.01436934535825081,0.016262330001966595,0.01436934535825081,3758,3751,3758,3812,3812,3812,244,212,231,False,False,False,0.669796185146625,0.5473093430054515,0.7798147266099611,2.147479,0.695811,3.891438,1.61104,0.244362,3.2139729999999997
40,2,36,62268,40115,784353,0.00497185740621777,0.005160442854981758,0.0047833427079503445,10660,10658,10662,10713,10713,10713,293,321,288,False,False,False,0.8386330057037542,0.8156549918779595,0.9222811667693981,2.556696,1.290775,4.650262000000001,1.7568830000000002,0.475866,3.630348
40,2,41,60755,41102,803579,0.0002272874861266032,0.0002272874861266032,0.0002272874861266032,30798,30798,30798,30805,30805,30805,449,529,436,False,False,False,0.9290428771141628,0.9170599970581222,0.9427112953412885,3.9568550000000005,2.053134,6.395497,3.076683,1.2562010000000001,5.657367
40,2,46,34094,29777,582721,0.0,0.0,0.0,34146,34146,34146,34146,34146,34146,564,626,531,True,True,True,0.973074441222119,0.9777680759990003,0.947559809924565,3.160618,1.8563779999999999,6.380726,2.640874,1.3738629999999998,5.795537
40,2,51,68527,48853,954703,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,True,True,True,0.9999999999854073,0.9999999999795304,0.9999999999989525,0.115383,0.012579,0.189345,0.0,0.0,0.0
40,2,56,62107,38784,758378,0.005503144610824335,0.005503144610824335,0.005503144610824335,1272,1272,1272,1279,1279,1279,198,190,190,False,False,False,0.5564751155174702,0.47439665840360984,0.6851438200993631,1.75552,0.530362,2.979511,1.290085,0.179812,2.493965
40,2,61,68642,39279,768051,0.017247479199321177,0.018869596014467048,0.017247479199321177,11306,11288,11306,11501,11501,11501,295,314,309,False,False,False,0.701217913220751,0.6694416863802682,0.8886558314475358,3.143826,1.3030680000000001,4.970772,2.087756,0.394914,3.8235129999999997
40,2,66,67985,41141,804360,0.004241389124895704,0.005013816481493371,0.004241389124895704,35130,35103,35130,35279,35279,35279,296,332,316,False,False,False,0.7710377288994479,0.7278870226604145,0.9071460540045413,3.085136,1.521059,5.259925,2.082284,0.5772729999999999,4.316117
40,2,71,49311,35743,699058,0.00035464691762706853,0.00041725778177057957,0.00035464691762706853,47935,47932,47935,47952,47952,47952,419,459,398,False,False,False,0.8991502909918851,0.9021346836890543,0.9390894603867789,2.9199669999999998,1.378767,5.476996,2.310161,0.8257120000000001,4.776219
40,2,76,61534,39584,774019,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,True,True,True,0.9999999999837488,0.9999999999747372,0.999999999998708,0.104921,0.012140999999999999,0.145226,0.0,0.0,0.0
40,2,81,65504,37339,730180,0.33924611221183787,0.33924611221183787,0.33924611221183787,451,451,451,604,604,604,230,206,234,False,False,False,0.5855672935914514,0.5439352955209316,0.7873962584557405,2.428737,1.179339,3.811899,1.6116030000000001,0.28797,2.791713
40,2,86,71024,38818,758959,0.008672448284402189,0.011202140091619897,0.008672448284402189,5996,5981,5996,6048,6048,6048,312,354,356,False,False,False,0.888896710958424,0.8584161986486059,0.9318566615575652,3.6052470000000003,1.6944720000000002,6.12717,2.499882,0.633112,4.892901
40,2,91,70336,41138,804240,0.0,0.000921269816543983,0.0,26075,26051,26075,26075,26075,26075,465,401,532,True,False,True,0.9906875568557968,0.9289707812502074,0.9475057196844878,4.934773000000001,1.9432450000000001,7.511659,3.649421,0.801983,6.206938
40,2,96,61520,41788,816997,0.00012101226760032487,0.0004539470697029753,0.00010588413249041232,66109,66087,66110,66117,66117,66117,415,385,428,False,False,False,0.9402633289834157,0.8856609552769775,0.943156462017678,3.092013,1.1527889999999998,6.066025,2.408843,0.6593180000000001,5.240419
40,2,101,73392,44177,863480,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,True,True,True,0.9999999999863747,0.9999999999773638,0.9999999999988419,0.10776600000000001,0.009805,0.18293099999999998,0.0,0.0,0.0
40,2,106,81063,43032,841050,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,True,True,True,0.999999999987664,0.9999999999767615,0.999999999998811,0.11175399999999999,0.011667,0.14297200000000002,0.0,0.0,0.0
40,2,111,84692,43420,848780,0.0029055148891403504,0.004533243785239957,0.0029055148891403504,17897,17868,17897,17949,17949,17949,346,344,349,False,False,False,0.9111840551538377,0.8595808383035564,0.9364087278200047,3.8638480000000004,1.5721,5.638917,2.707534,0.5839840000000001,4.741483000000001
40,2,116,68065,38519,753231,0.0037617311704949466,0.005829091048136987,0.0037617311704949466,25786,25733,25786,25883,25883,25883,315,362,342,False,False,False,0.7268493351836209,0.7584568654233377,0.9229744925515241,2.894629,1.4343489999999999,5.057335,1.939541,0.5792109999999999,4.006373
40,2,121,67802,43536,851083,0.0003255460647176979,0.0006823398051171856,0.0003255460647176979,64507,64484,64507,64528,64528,64528,343,383,362,False,False,False,0.9243237662469497,0.8678794560623879,0.9406203625252288,3.2913930000000002,1.708553,6.206362,2.346874,0.686258,5.116858000000001
40,4,1,29426,21455,400188,0.002283104970705366,0.002283104970705366,0.002283104970705366,438,438,438,439,439,439,70,69,65,False,False,False,0.6443961122597568,0.504404567676327,0.7784816136396432,0.490225,0.381411,0.964374,0.214948,0.04193,0.5364270000000001
40,4,6,30125,20571,384303,0.0008431703168500407,0.0008431703168500407,0.0008431703168500407,2372,2372,2372,2374,2374,2374,56,48,52,False,False,False,0.8183568464458637,0.7041466141313428,0.878299154571059,0.8443510000000001,0.656366,1.164232,0.248565,0.032149000000000004,0.456121
40,4,11,30858,20896,390292,0.00034873583199871697,0.00034873583199871697,0.00034873583199871697,5735,5735,5735,5737,5737,5737,129,164,144,False,False,False,0.8731609306865914,0.822884762594617,0.9067903005931283,0.9877540000000001,0.472438,1.445684,0.443982,0.086812,0.8914
40,4,16,33636,21324,398064,0.0005586072057729228,0.0006983565339641713,0.0005586072057729228,21482,21479,21482,21494,21494,21494,94,106,94,False,False,False,0.9029611130662695,0.9036766084738475,0.9333398649439956,1.1798959999999998,0.9113180000000001,1.919022,0.385087,0.061176999999999995,0.707774
40,4,21,26379,19312,361208,0.0,4.387504385579368e-05,0.0,22793,22792,22793,22793,22793,22793,194,219,168,True,False,True,0.9528412752207118,0.955519883960464,0.9450731988191151,0.7986409999999999,0.448104,1.500599,0.404903,0.150923,1.024837
40,4,26,32444,22009,410663,0.0,0.0,0.0,88,88,88,88,88,88,63,61,76,True,True,True,0.5157810380805147,0.39606524601771703,0.9449378200594041,0.587542,0.296476,0.9465049999999999,0.277276,0.035857,0.6837479999999999
40,4,31,36325,23595,439827,0.013621794817220373,0.016881028871056955,0.013621794817220373,2496,2488,2496,2530,2530,2530,86,94,82,False,False,False,0.7622849277147341,0.6364907819183517,0.8391708558118551,1.3148799999999998,0.990079,1.7776830000000001,0.369532,0.084141,0.700237
40,4,36,36796,21035,392736,0.01306058219817375,0.013539042799844078,0.01306058219817375,6355,6352,6355,6438,6438,6438,129,140,121,False,False,False,0.7502717686501176,0.7440931780012316,0.8904174814611077,1.7422900000000001,0.965268,1.9413619999999998,0.605626,0.09652100000000001,0.706684
40,4,41,35912,21502,401289,0.004196676683379643,0.0046524822668638395,0.004139730064568601,17633,17625,17634,17707,17707,17707,126,122,118,False,False,False,0.7544831810883692,0.7509068923471813,0.8915021343697647,1.792634,1.008519,2.2457119999999997,0.537824,0.105582,0.871015
40,4,46,25807,16137,302760,5.2290315806164865e-05,5.2290315806164865e-05,5.2290315806164865e-05,19124,19124,19124,19125,19125,19125,176,207,161,False,False,False,0.9614058200890686,0.9566214289547857,0.9426113092847713,1.241358,0.8877959999999999,1.47602,0.5993029999999999,0.27468899999999996,0.94957
40,4,51,36581,25133,467850,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,True,True,True,0.9999999999726634,0.9999999999602116,0.9999999999978626,0.19911700000000002,0.138268,0.229017,0.0,0.0,0.0
40,4,56,34140,20384,380718,0.038847117307680236,0.038847117307680236,0.038847117307680236,798,798,798,829,829,829,77,77,76,False,False,False,0.5329525483147934,0.44878335947562875,0.6741604021856751,1.0053450000000002,0.543538,1.102188,0.396858,0.058062,0.490703
40,4,61,37451,20679,386286,0.006971975383496958,0.008350444889321773,0.006834335693228081,7315,7305,7316,7366,7366,7366,140,145,137,False,False,False,0.825211609814819,0.7956380869096359,0.9090440761484779,1.6616540000000002,1.063309,2.375454,0.6843899999999999,0.101687,1.073753
40,4,66,38110,21541,402070,0.00093841062827164,0.00093841062827164,0.00093841062827164,20247,20247,20247,20266,20266,20266,132,139,131,False,False,False,0.8831277879589838,0.8812961329148463,0.925483124826708,1.887443,1.309234,2.3789740000000004,0.658339,0.131377,1.059703
40,4,71,33484,18943,354238,7.479431560404102e-05,7.479431560404102e-05,7.479431560404102e-05,26740,26740,26740,26742,26742,26742,215,234,211,False,False,False,0.9585473658774774,0.9519611465474338,0.942298680545446,1.4094309999999999,0.828111,2.032886,0.785464,0.251662,1.3462040000000002
40,4,76,33709,20824,388970,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,True,True,True,0.9999999999703343,0.9999999999519785,0.9999999999974291,0.080606,0.010234,0.08985499999999999,0.0,0.0,0.0
40,4,81,36573,19699,368119,0.08148147997256519,0.08752327583755538,0.07352941041306231,540,537,544,584,584,584,176,165,166,False,False,False,0.7652366499667723,0.7244530178829152,0.8918040090272662,1.6813099999999999,0.8326790000000001,2.151328,0.822392,0.12854100000000002,1.256185
40,4,86,37296,20338,379657,0.0055096418616027935,0.005935976243510757,0.0055096418616027935,4719,4717,4719,4745,4745,4745,208,206,209,False,False,False,0.9096685971442067,0.9029403087371943,0.9343117603496464,2.069889,1.1479549999999998,2.708571,1.0216399999999999,0.21776700000000002,1.6110950000000002
40,4,91,38241,21498,401129,0.0023783505802028987,0.0034749034726673724,0.0023783505802028987,15557,15540,15557,15594,15594,15594,234,218,205,False,False,False,0.8539525639796566,0.8191459670286005,0.9216162381654739,2.099149,1.050478,2.633427,1.117016,0.18778,1.591806
40,4,96,36360,21868,408139,0.0002481663265184563,0.00035850201302782466,0.0002481663265184563,36266,36262,36266,36275,36275,36275,109,122,105,False,False,False,0.912733773352235,0.8965154563336146,0.9337554117569412,1.380451,0.975628,1.8527099999999999,0.48005299999999995,0.12461300000000002,0.8716430000000001
40,4,101,38253,22897,426708,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,True,True,True,0.9999999999738582,0.9999999999563262,0.9999999999976564,0.068727,0.008654,0.079056,0.0,0.0,0.0
40,4,106,42340,22232,414130,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,True,True,True,0.9999999999763817,0.9999999999550198,0.9999999999975853,0.096062,0.011739,0.073016,0.0,0.0,0.0
40,4,111,43743,22620,421860,0.0056189796596334465,0.008407119212586424,0.0056189796596334465,11212,11181,11212,11275,11275,11275,163,192,150,False,False,False,0.842054728737351,0.7711759504522027,0.911745602804457,1.80255,0.991756,2.188324,0.8756510000000001,0.185566,1.247132
