NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost
wt040_001,0.771245,0.725108,0.414095,0.414099,0.280898,0.027614,0.253705,0.037671,584,606,0.037671,172,28/8/2019,4,1,0.8,1,40,2,31671,14606
wt040_001,0.898596,0.879508,0.530221,0.530226,0.314121,0.032438,0.392523,0.037671,584,606,0.037671,163,28/8/2019,4,1,0.8,2,40,2,31671,14596
wt040_001,0.566817,0.542048,0.26122,0.261224,0.247534,0.031031,0.125862,0.037671,584,606,0.037671,167,28/8/2019,4,1,0.8,3,40,2,31671,14598
wt040_001,0.732371,0.693983,0.426256,0.426262,0.225077,0.039689,0.261087,0.037671,584,606,0.037671,165,28/8/2019,4,1,0.8,4,40,2,31671,14629
wt040_001,1.043794,1.01473,0.745034,0.745038,0.229841,0.03972,0.562065,0.037671,584,606,0.037671,152,28/8/2019,4,1,0.8,5,40,2,23446,14312
wt040_001,1.265538,1.227402,0.946396,0.946401,0.237665,0.041051,0.75535,0.037671,584,606,0.037671,165,28/8/2019,4,1,0.8,6,40,2,23446,14304
wt040_001,0.982295,0.946101,0.578669,0.578673,0.320231,0.044753,0.407293,0.037671,584,606,0.037671,167,28/8/2019,4,1,0.8,7,40,2,23446,14312
wt040_001,1.240831,1.198025,0.856783,0.856789,0.283639,0.057082,0.650669,0.037671,584,606,0.037671,165,28/8/2019,4,1,0.8,8,40,2,23446,14324
wt040_001,0.356141,0.333323,0.076257,0.07626,0.25241,0,0.028537,0.037671,584,606,0.037671,140,28/8/2019,4,1,0.8,9,40,2,0,0
wt040_001,1.832548,1.818591,1.517263,1.517266,0.235995,0,1.398418,0.037671,584,606,0.037671,158,28/8/2019,4,1,0.8,10,40,2,0,0
wt040_001,0.670028,0.642114,0.082062,0.082068,0.525469,0.02942,0.043106,0.002283,438,439,0.002283,45,28/8/2019,4,1,0.8,1,40,4,15972,5503
wt040_001,0.689413,0.660994,0.108632,0.108637,0.52913,0.019719,0.074592,0.002283,438,439,0.002283,43,28/8/2019,4,1,0.8,2,40,4,15972,5493
wt040_001,0.657348,0.642388,0.061699,0.061704,0.555079,0.022715,0.02545,0.002283,438,439,0.002283,45,28/8/2019,4,1,0.8,3,40,4,15972,5503
wt040_001,0.592346,0.561077,0.07934,0.079344,0.465662,0.012616,0.043897,0.002283,438,439,0.002283,43,28/8/2019,4,1,0.8,4,40,4,15972,5696
wt040_001,0.692796,0.674638,0.157994,0.157999,0.489682,0.023243,0.107077,0.002283,438,439,0.002283,45,28/8/2019,4,1,0.8,5,40,4,13052,5494
wt040_001,0.78611,0.761063,0.223364,0.223368,0.496889,0.038732,0.164018,0.002283,438,439,0.002283,43,28/8/2019,4,1,0.8,6,40,4,13052,5657
wt040_001,0.653116,0.635019,0.14034,0.140344,0.469008,0.022375,0.086829,0.002283,438,439,0.002283,45,28/8/2019,4,1,0.8,7,40,4,13052,5494
wt040_001,0.704762,0.689904,0.173246,0.17325,0.490407,0.024886,0.123586,0.002283,438,439,0.002283,43,28/8/2019,4,1,0.8,8,40,4,13052,5657
wt040_001,0.538116,0.523355,0.031873,0.031876,0.48898,0,0.009018,0.002283,438,439,0.002283,50,28/8/2019,4,1,0.8,9,40,4,0,0
wt040_001,1.187346,1.158814,0.442957,0.442961,0.673079,0,0.40939,0.002283,438,439,0.002283,47,28/8/2019,4,1,0.8,10,40,4,0,0
wt040_006,1.340788,1.306796,0.727213,0.727216,0.534448,0.044902,0.401186,0.002839,3875,3886,0.002839,225,28/8/2019,4,1,0.8,1,40,2,30237,7928
wt040_006,1.583371,1.559743,0.966512,0.966515,0.54021,0.05265,0.683402,0.002839,3875,3886,0.002839,198,28/8/2019,4,1,0.8,2,40,2,30237,7859
wt040_006,1.245765,1.201283,0.612672,0.612677,0.538066,0.047799,0.212614,0.002839,3875,3886,0.002839,260,28/8/2019,4,1,0.8,3,40,2,30237,7947
wt040_006,1.285243,1.252229,0.675337,0.675339,0.530114,0.046404,0.373339,0.002839,3875,3886,0.002839,208,28/8/2019,4,1,0.8,4,40,2,30237,7943
