Inst,n,m,UBPessoa,LB_ROOT_Pessoa,TimeRootPessoa,TimeBCPPessoa,TimeCPLEXPessoa,BestOveralllPessoa,TimePessoa,OptPessoa,UBOliveira,LBRootOliveira,TimeRootOliveira,TimeBCPOliveira,TimeCPLEXOliveira,BestOverallOliveira,TimeOliveira,OptOliveira,,
1,50,4,785,785,56.399999999999999,,,Root,56.399999999999999,785,785,785,29,,,Root,29,785,,
6,50,4,8317,8304,147.09999999999999,>86400,78140,MIP,78287.100000000006,8317,8317,8304,33.700000000000003,1330.2,15.59,BCP,1363.9000000000001,8317,,
11,50,4,12879,12875,98.900000000000006,5691.6000000000004,43.799999999999997,MIP,142.69999999999999,12879,12879,12876,34.600000000000001,40.200000000000003,11.619999999999999,MIP,46.200000000000003,12879,,
16,50,4,25376,25376,31.199999999999999,,,Root,31.199999999999999,25376,25376,25376,9.1999999999999993,,,Root,9.1999999999999993,25376,,
36,50,4,10796,10796,35.100000000000001,,,Root,35.100000000000001,10796,10796,10796,5.5999999999999996,,,Root,5.5999999999999996,10796,,
41,50,4,21806,21785,72.700000000000003,232.40000000000001,68.099999999999994,MIP,140.80000000000001,21806,21806,21786,59.100000000000001,179.69999999999999,26.030000000000001,MIP,85.099999999999994,21806,,
46,50,4,44455,44455,40.5,,,Root,40.5,44455,44455,44453,17.100000000000001,0.69999999999999996,0.059999999999999998,BCP,17.800000000000001,44455,,
56,50,4,570,541,67.799999999999997,>86400,18126,MIP,18193.799999999999,570,570,540,14.199999999999999,>14393.6,1757.6099999999999,MIP,1771.8,570,,
61,50,4,7898,7857,113.7,>86400,27997.400000000001,MIP,28111.099999999999,7898,7898,7857,49.299999999999997,6283,653.57000000000005,MIP,702.89999999999998,7898,,
71,50,4,42645,42628,218.80000000000001,336.60000000000002,42.299999999999997,MIP,261.10000000000002,42645,42645,42627,19,91.299999999999997,17.510000000000002,MIP,36.5,42645,,
81,50,4,495,495,118.90000000000001,,,Root,118.90000000000001,495,495,495,26.300000000000001,,,Root,26.300000000000001,495,,
86,50,4,8369,8336,241.30000000000001,575.20000000000005,355.60000000000002,MIP,596.89999999999998,8369,8369,8336,69.900000000000006,130.09999999999999,10.359999999999999,MIP,80.299999999999997,8369,,
91,50,4,26552,26548,187.59999999999999,,,Root,187.59999999999999,26551,26551,26551,12.4,,,Root,12.4,26551,,
96,50,4,50326,50317,183.19999999999999,261.10000000000002,32.399999999999999,MIP,215.59999999999999,50326,50326,50325,77.099999999999994,59.700000000000003,16.649999999999999,MIP,93.700000000000003,50326,,
111,50,4,10069,10051,134.59999999999999,52,43.799999999999997,MIP,178.40000000000001,10069,10069,10052,39.899999999999999,46.399999999999999,4.1200000000000001,MIP,44,10069,,
116,50,4,11552,11523,114.3,45693.5,4087.1999999999998,MIP,4201.5,11552,11552,11523,27,7944.5,217.34,MIP,244.30000000000001,11552,,
121,50,4,23792,23775,85.299999999999997,438.5,248.5,MIP,333.80000000000001,23792,23792,23775,49,132,15.99,MIP,65,23792,,
