NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt040_021,40,4,21.147495877929032,21.071739,0.6159989999999986,0.611891,0.611894000000003,20.403982000000003,0.03965999999999781,0.17182399999998665,0.004979999999999762,0,22793,22793,0,22793,22793,342,342,0,21/06/10,15000,1,0.8,4,13379,0,5,0.2,true,0,0,0,0,0,110,0,0
wt040_021,40,4,21.779070359654725,21.629935,0.633464,0.6288219999999995,0.6288240000000016,20.942535,0.04574500000000015,0.1661139999999186,0.004816999999999183,0,22793,22793,0,22793,22793,334,334,0,21/06/10,15000,1,0.8,4,13379,0,15,0.2,true,0,0,0,0,0,110,0,0
wt040_026,40,4,26.29300385620445,26.209433,0.18229900000000043,0.17756999999999934,0.17757300000000242,25.968639,0.049845999999998725,0.08274300000001844,0.006437999999999278,0,88,88,0,88,88,124,124,0,21/06/10,15000,1,0.8,4,16423,0,20,0.2,true,0,0,0,0,0,110,0,0
wt040_026,40,4,26.367867777124047,26.23605,0.19274400000000114,0.18802200000000013,0.1880240000000022,25.992497,0.0426739999999981,0.0852269999999784,0.0065410000000021284,0,88,88,0,88,88,132,132,0,21/06/10,15000,1,0.8,4,16423,0,15,0.2,true,0,0,0,0,0,110,0,0
wt040_026,40,4,26.747079654596746,26.635127,0.18195300000000003,0.17770899999999656,0.17771099999999862,26.398802999999997,0.05024599999999779,0.0836290000000055,0.006555999999999784,0,88,88,0,88,88,120,120,0,21/06/10,15000,1,0.8,4,16423,0,5,0.2,true,0,0,0,0,0,110,0,0
wt040_026,40,4,26.909348743967712,26.805212,0.27092599999999933,0.2641200000000019,0.2641229999999979,26.454985,0.07103700000000046,0.10569299999996673,0.009539000000000186,0,88,88,0,88,88,131,131,0,21/06/10,15000,1,0.8,4,16423,0,10,0.2,true,0,0,0,0,0,110,0,0
wt040_001,40,4,29.48402990680188,29.331986,0.4967950000000023,0.4254859999999958,0.3933649999999993,28.780243,0.050743999999998124,0.16038399999996855,0.044064999999996246,0,439,439,0.002283105017618482,439,438,257,244,1,21/06/10,15000,1,0.8,4,14910,7081,20,0.2,true,0,0,0,0,0,110,0,0
wt040_001,40,4,29.757890136912465,29.60527,0.4721939999999982,0.39677000000000007,0.3635219999999997,29.087474999999998,0.038600999999999885,0.14748899999999665,0.042135999999999285,0,439,439,0.002283105017618482,439,438,241,227,1,21/06/10,15000,1,0.8,4,14910,6399,10,0.2,true,0,0,0,0,0,110,0,0
wt040_001,40,4,31.22250132355839,31.126327,0.6856480000000005,0.5777909999999977,0.5250959999999978,30.369137,0.06341899999999967,0.19160999999993678,0.058179000000002645,0,439,439,0.002283105017618482,439,438,256,238,1,21/06/10,15000,1,0.8,4,14910,6484,15,0.2,true,0,0,0,0,0,110,0,0
wt040_011,40,4,32.25227823667228,32.128571,0.4974209999999992,0.4525470000000027,0.41979499999999703,31.575669,0.047494999999997844,0.15668299999996194,0.020810000000015094,0,5737,5737,0.000348735832545992,5737,5735,295,273,1,21/06/10,15000,1,0.8,4,15629,2442,10,0.2,true,0,0,0,0,0,110,0,0
