NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex
wt040_021,40,4,21.106169630773365,20.970266,0.5805299999999995,0.5762820000000026,0.5762839999999976,20.336489,0.04495599999999911,0.16279799999995603,0.0027189999999990278,0,22793,22793,0,22793,22793,346,346,0,21/06/03,15000,1,0.8,4,13379,0,20,0.2,0,0,0,0,0,110,0,0
wt040_021,40,4,21.4988903850317,21.410413,0.6052929999999996,0.599928000000002,0.5999300000000005,20.748949999999997,0.04806199999999805,0.1570030000000031,0.006960000000002964,0,22793,22793,0,22793,22793,320,320,0,21/06/03,15000,1,0.8,4,13379,0,20,0.5,0,0,0,0,0,110,0,0
wt040_021,40,4,21.582860194146633,21.502799,0.5883730000000007,0.5837339999999998,0.5837369999999993,20.870017999999998,0.04015199999999908,0.16225800000000845,0.007077999999999918,0,22793,22793,0,22793,22793,327,327,0,21/06/03,15000,1,0.8,4,13379,0,20,0.3,0,0,0,0,0,110,0,0
wt040_021,40,4,21.755216284655035,21.630708,0.6005530000000014,0.5957880000000024,0.5957899999999974,20.985089,0.040833000000002784,0.15586900000002046,0.007194999999999396,0,22793,22793,0,22793,22793,324,324,0,21/06/03,15000,1,0.8,4,13379,0,20,0.4,0,0,0,0,0,110,0,0
wt040_026,40,4,26.27516309544444,26.151069,0.19054399999999916,0.18629299999999915,0.1862950000000012,25.896583999999997,0.055600999999999345,0.08705100000001664,0.008655999999998443,0,88,88,0,88,88,127,127,0,21/06/03,15000,1,0.8,4,16423,0,20,0.2,0,0,0,0,0,110,0,0
wt040_026,40,4,28.04763149470091,27.940996,0.18068999999999846,0.17686199999999985,0.17686499999999938,27.689008,0.05851499999999987,0.07969300000001667,0.00896099999999933,0,88,88,0,88,88,121,121,0,21/06/03,15000,1,0.8,4,16423,0,20,0.5,0,0,0,0,0,110,0,0
wt040_011,40,4,29.711685149930418,29.615855,0.45679400000000214,0.416242000000004,0.38940200000000047,29.094764,0.053994000000002984,0.15890399999998905,0.012183999999997752,0,5737,5737,0.000348735832545992,5737,5735,236,221,1,21/06/03,15000,1,0.8,4,15629,2036,20,0.3,0,0,0,0,0,110,0,0
wt040_001,40,4,30.00270372070372,29.89362,0.30535799999999824,0.24429500000000104,0.20421799999999735,29.524524000000003,0.0551300000000019,0.10455900000000184,0.01904000000000039,0,439,439,0.002283105017618482,439,438,170,145,1,21/06/03,15000,1,0.8,4,14910,5167,20,0.5,0,0,0,0,0,110,0,0
wt040_026,40,4,30.283104182220995,30.180754,0.2608320000000006,0.25637000000000043,0.25637299999999996,29.832411,0.07851600000000047,0.11148800000001557,0.013408000000001863,0,88,88,0,88,88,123,123,0,21/06/03,15000,1,0.8,4,16423,0,20,0.3,0,0,0,0,0,110,0,0
wt040_026,40,4,30.315808715298772,30.226833,0.30150000000000077,0.29381799999999814,0.2938210000000012,29.838314999999998,0.078873999999999,0.12608800000000286,0.013438999999998202,0,88,88,0,88,88,139,139,0,21/06/03,15000,1,0.8,4,16423,0,20,0.4,0,0,0,0,0,110,0,0
