NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt040_001,40,2,20.636632224544883,20.422491000000001,2.9109039999999986,2.3701720000000002,0.70009200000000149,17.417290999999999,0.089596999999997706,1.7434019999999606,1.1670329999999929,0,606,606,0.037671232812206794,606,584,448,186,2,21/06/17,15000,1,0.80000000000000004,4,25468,14583,20,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_001,40,2,28.194462261162698,27.956983999999999,2.361422000000001,1.9766440000000038,0.97658599999999751,25.504799000000002,0.086504999999998944,1.3817939999999993,0.68838199999999361,0,606,606,0.037671232812206794,606,584,431,225,2,21/06/17,15000,1,0.80000000000000004,4,25468,14570,20,0.40000000000000002,false,0,0,0,0,0,110,0,0
wt040_001,40,2,30.982073182240129,30.713017000000001,4.1454500000000003,3.1968010000000007,0.98273999999999972,26.4543,0.10852600000000123,2.1683879999999718,1.3981329999999836,0,606,606,0.037671232812206794,606,584,480,206,2,21/06/17,15000,1,0.80000000000000004,4,25468,14589,20,0.5,false,0,0,0,0,0,110,0,0
wt040_001,40,2,24.757381916977465,24.472140999999997,2.7704430000000002,2.1573810000000009,1.1658369999999998,21.552968,0.14808799999999778,1.4132920000000091,0.68260999999999328,0,606,606,0.037671232812206794,606,584,407,202,2,21/06/17,15000,1,0.80000000000000004,4,25468,14583,20,0.59999999999999998,false,0,0,0,0,0,110,0,0
wt040_001,40,2,30.925029011443257,30.714871000000002,2.8588169999999984,2.1959630000000061,1.1601379999999999,27.734254999999997,0.11710599999999971,1.4661380000000506,0.81737200000000954,0,606,606,0.037671232812206794,606,584,393,202,2,21/06/17,15000,1,0.80000000000000004,4,25468,14589,20,0.80000000000000004,false,0,0,0,0,0,110,0,0
wt040_006,40,2,33.816074844449759,33.622416000000001,2.0261269999999953,1.7073530000000012,1.0615300000000047,31.485941,0.10538499999999829,1.1108260000000527,0.58124999999996518,0,3886,3886,0.0028387096766867848,3886,3875,455,268,3,21/06/17,15000,1,0.80000000000000004,4,27343,7917,20,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_006,40,2,34.575992490164936,34.318469,3.368344000000004,2.5367800000000038,1.1063440000000035,30.832141,0.11449599999999904,1.3893190000001105,0.83543800000001056,0,3886,3886,0.0028387096766867848,3886,3875,710,242,4,21/06/17,15000,1,0.80000000000000004,4,27343,7900,20,0.40000000000000002,false,0,0,0,0,0,110,0,0
wt040_006,40,2,35.340362939052284,35.194436000000003,1.6761820000000043,1.4612439999999864,0.92067600000000027,33.414800999999997,0.099204000000000292,0.98344300000004381,0.52045599999998871,0,3886,3886,0.0028387096766867848,3886,3875,389,243,2,21/06/17,15000,1,0.80000000000000004,4,27343,7847,20,0.5,false,0,0,0,0,0,110,0,0
wt040_006,40,2,30.577579123899341,30.369781,2.1708659999999966,1.8173159999999982,0.91478899999999896,28.100486999999998,0.092586000000000723,1.0943929999999966,0.62800799999999057,0,3886,3886,0.0028387096766867848,3886,3875,528,268,2,21/06/17,15000,1,0.80000000000000004,4,27343,8289,20,0.59999999999999998,false,0,0,0,0,0,110,0,0
wt040_006,40,2,39.740644532255828,39.402986999999996,4.4393680000000018,3.207035999999988,1.3066760000000031,34.827102000000004,0.13199800000000295,1.8251130000001154,1.0780530000000397,0,3886,3886,0.0028387096766867848,3886,3875,913,253,6,21/06/17,15000,1,0.80000000000000004,4,27343,7478,20,0.80000000000000004,false,0,0,0,0,0,110,0,0
