Inst,n,m,UBPessoa,LB_ROOT_Pessoa,TimeRootPessoa,TimeBCPPessoa,TimeCPLEXPessoa,BestOveralllPessoa,TimePessoa,OptPessoa,UBOliveira,LBRootOliveira,TimeRootOliveira,TimeBCPOliveira,TimeCPLEXOliveira,BestOverallOliveira,TimeOliveira,OptOliveira,,
1,50,2,1268,1268,345.80000000000001,,,Root,345.80000000000001,1268,1268,1268,28.800000000000001,,,Root,28.800000000000001,1268,,
6,50,2,14272,14272,122.8,,,Root,122.8,14272,14272,14272,10,,,Root,10,14272,,
11,50,2,23028,23028,67.099999999999994,,,Root,67.099999999999994,23028,23028,23028,10.9,,,Root,10.9,23028,,
16,50,2,46072,46072,59.399999999999999,,,Root,59.399999999999999,46072,46072,46072,17.699999999999999,,,Root,17.699999999999999,46072,,
21,50,2,111069,111069,36.100000000000001,,,Root,36.100000000000001,111069,111069,111069,6.7999999999999998,,,Root,6.7999999999999998,111069,,
31,50,2,5378,5349,1110.2,11608.9,11997.5,BCP,12719.1,5378,5378,5378,21.100000000000001,,,Root,21.100000000000001,5378,,
36,50,2,18956,18956,73.299999999999997,,,Root,73.299999999999997,18956,18956,18956,9.0999999999999996,,,Root,9.0999999999999996,18956,,
41,50,2,38058,38050,381.5,16.699999999999999,43.5,BCP,398.19999999999999,38058,38058,38058,58,,,Root,58,38058,,
46,50,2,82105,82105,66,,,Root,66,82105,82105,82105,31.399999999999999,,,Root,31.399999999999999,82105,,
56,50,2,761,761,267.39999999999998,,,Root,267.39999999999998,761,761,761,13.9,,,Root,13.9,761,,
61,50,2,13682,13619,661.39999999999998,83122.800000000003,36094.599999999999,MIP,36756,13682,13682,13682,22.600000000000001,,,Root,22.600000000000001,13682,,
66,50,2,40907,40907,37.5,,,Root,37.5,40907,40907,40907,6.2999999999999998,,,Root,6.2999999999999998,40907,,
81,50,2,542,542,40.5,,,Root,40.5,542,542,542,8.9000000000000004,,,Root,8.9000000000000004,542,,
86,50,2,12557,12427,999.29999999999995,13817.700000000001,23070,BCP,14817,12557,12557,12557,17.800000000000001,,,Root,17.800000000000001,12557,,
91,50,2,47349,47330,552.60000000000002,210.59999999999999,204.5,MIP,757.10000000000002,47349,47349,47349,8.6999999999999993,,,Root,8.6999999999999993,47349,,
96,50,2,92822,92822,60.899999999999999,,,Root,60.899999999999999,92822,92822,92822,7.2999999999999998,,,Root,7.2999999999999998,92822,,
111,50,2,15564,15564,66.599999999999994,,,Root,66.599999999999994,15564,15564,15564,9.3000000000000007,,,Root,9.3000000000000007,15564,,
116,50,2,19609,19573,508.80000000000001,2390.6999999999998,8539.5,BCP,2899.5,19608,19608,19608,47.100000000000001,,,Root,47.100000000000001,19608,,
