NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex
wt100_021,100,2,7384.658288234845,7355.973843000001,7179.6336759999995,3702.623761999998,53.51628299999999,175.273734,1.0393349999999941,509.10556400036745,65.26656399999078,5.023874324496359e-05,457814,457837,5.023874324496359e-05,457837,457814,375039,1881,82,21/06/04,15000,1,0.8,4,149005,14491,20,0.5,0,0,0,0,0,110,0,0
wt100_101,100,2,2.4099383605644107,2.128848,0.43776499999999996,0.392439,0.3924420000000002,0.0046710000000000015,1.6529759999999998,0.39176999999999973,0.32959099999999975,0,0,0,0,0,0,1,1,0,21/06/04,15000,1,0.8,4,211748,0,20,0.2,0,0,0,0,0,110,0,0
wt100_101,100,2,3.6219375459477305,2.829005,0.5878899999999998,0.539183,0.5391859999999999,0.004730000000000005,2.2029929999999998,0.5391590000000002,0.46814800000000023,0,0,0,0,0,0,1,1,0,21/06/04,15000,1,0.8,4,211748,0,20,0.3,0,0,0,0,0,110,0,0
wt100_101,100,2,2.465256446041167,2.281676,0.5336759999999998,0.48184000000000005,0.48184399999999994,0.004500999999999998,1.7098410000000002,0.4811350000000001,0.40286599999999995,0,0,0,0,0,0,1,1,0,21/06/04,15000,1,0.8,4,211748,0,20,0.4,0,0,0,0,0,110,0,0
wt100_101,100,2,2.4541577715426683,2.224823,0.49570800000000004,0.41410800000000014,0.4141110000000001,0.0043289999999999995,1.692906,0.41340100000000013,0.3368300000000002,0,0,0,0,0,0,1,1,0,21/06/04,15000,1,0.8,4,211748,0,20,0.5,0,0,0,0,0,110,0,0
wt100_106,100,2,2.7313751485198736,2.523086,0.5470999999999999,0.49243800000000015,0.49244200000000005,0.004527000000000003,1.935886,0.49147099999999977,0.41482600000000014,0,0,0,0,0,0,1,1,0,21/06/04,15000,1,0.8,4,245276,0,20,0.2,0,0,0,0,0,110,0,0
wt100_106,100,2,3.4746364913880825,2.7776739999999998,0.721524,0.667459,0.667462,0.004857,2.010851,0.6651999999999996,0.5377939999999999,0,0,0,0,0,0,1,1,0,21/06/04,15000,1,0.8,4,245276,0,20,0.3,0,0,0,0,0,110,0,0
wt100_106,100,2,2.7512662885710597,2.5348610000000003,0.5210280000000003,0.465935,0.4659369999999998,0.0021650000000000003,1.969952,0.4647159999999997,0.39273099999999994,0,0,0,0,0,0,1,1,0,21/06/04,15000,1,0.8,4,245276,0,20,0.4,0,0,0,0,0,110,0,0
wt100_106,100,2,3.5256549948826432,2.8577280000000003,0.7991160000000002,0.7456689999999999,0.7456719999999999,0.0015080000000000024,2.016657,0.7433549999999998,0.6334109999999997,0,0,0,0,0,0,1,1,0,21/06/04,15000,1,0.8,4,245276,0,20,0.5,0,0,0,0,0,110,0,0
wt100_021,100,2,7649.107385817915,7618.554169,7392.7808110000005,4053.741159000011,50.781486,224.72531999999998,1.0148969999999906,518.9190210000121,44.80092399999779,4.8054450060399956e-05,457814,457836,4.8054450060399956e-05,457836,457814,341576,1822,62,21/06/04,15000,1,0.8,4,149005,14263,20,0.4,0,0,0,0,0,110,0,0
wt100_041,100,2,7569.491739585064,7551.311646,7219.802253,2776.1092569999937,54.71782400000001,329.915934,1.5532479999999964,808.2012740000546,165.63152499999967,0.0007611982353626576,237783,237964,0.0008159145392571985,237964,237770,166469,1462,38,21/06/04,15000,1,0.8,4,228883,33613,20,0.2,0,0,0,0,0,110,0,0
wt100_046,100,2,7456.916888438165,7421.09528,7182.08211,3645.899562000009,36.174476,237.419201,1.556872999999996,802.9717470000232,115.75256700003081,5.9128773006865725e-05,422806,422831,6.385937692154317e-05,422831,422804,391024,1090,112,21/06/04,15000,1,0.8,4,169601,169601,20,0.4,0,0,0,0,0,110,0,0
wt100_046,100,2,7523.366591090336,7489.353283,7295.563319,3927.912704,54.32283699999999,192.59912300000002,1.1595450000000085,1144.2742899997602,131.2600360000024,6.622453902974847e-05,422804,422832,6.622453902974847e-05,422832,422804,327592,1573,87,21/06/04,15000,1,0.8,4,169601,169601,20,0.5,0,0,0,0,0,110,0,0
wt100_046,100,2,7636.494311885908,7597.588852,7253.446723,4006.7122250000048,43.294962999999996,342.318988,1.787731000000008,611.4243009998893,89.93532700001322,6.385937692154317e-05,422804,422831,6.385937692154317e-05,422831,422804,459987,1051,107,21/06/04,15000,1,0.8,4,169601,16182,20,0.2,0,0,0,0,0,110,0,0
wt100_046,100,2,7608.043077119626,7569.480747,7264.370266999999,3711.6532720000264,72.074364,303.36694500000004,1.7060109999999895,652.1740329996514,121.50772799998975,6.149392392714035e-05,422806,422832,6.622453902974847e-05,422832,422804,510675,1526,185,21/06/04,15000,1,0.8,4,169601,16412,20,0.3,0,0,0,0,0,110,0,0
wt100_041,100,2,7695.00133642368,7667.132339,7272.295109,3410.771446000004,66.12842899999998,392.8188,1.975323000000003,934.6615090001778,192.09326699997962,0.0005381429862708871,237855,237983,0.0008958236951638314,237983,237770,280578,1428,64,21/06/04,15000,1,0.8,4,228883,35523,20,0.5,0,0,0,0,0,110,0,0
wt100_041,100,2,7800.08310069982,7770.366220999999,7407.873826,3502.6805130000134,59.275960999999995,360.419927,2.0321329999999875,834.006362999524,166.43392500001437,0.00044143799477656324,237859,237964,0.0008159145392571985,237964,237770,343976,1464,122,21/06/04,15000,1,0.8,4,228883,33577,20,0.4,0,0,0,0,0,110,0,0
wt100_041,100,2,7869.078585971147,7845.975714,7472.330572000001,4045.868964999995,81.24548699999997,371.436148,2.1699929999999767,2070.1916589998923,262.0523609999993,0.00075698953671922,237784,237964,0.0008159145392571985,237964,237770,156471,1429,29,21/06/04,15000,1,0.8,4,228883,228883,20,0.3,0,0,0,0,0,110,0,0
wt100_061,100,2,7596.147986661643,7557.745047,7169.7859020000005,4061.485187999996,44.13492200000002,386.58978,1.3371270000000095,1380.6822669999779,150.26518599999167,0.0028386585687254938,45444,45573,0.003567417585968875,45573,45411,271866,1271,89,21/06/04,15000,1,0.8,4,212937,212937,20,0.2,0,0,0,0,0,110,0,0
wt100_061,100,2,7691.345822846517,7654.815436000001,7215.087823999999,3880.9247910000263,38.75723700000003,438.345168,1.3435499999999934,1125.571267999841,137.0325539999995,0.002750396056971695,45448,45573,0.003567417585968875,45573,45411,302783,1159,113,21/06/04,15000,1,0.8,4,212937,37037,20,0.3,0,0,0,0,0,110,0,0
wt100_061,100,2,7710.680675007403,7674.13176,7229.743039000001,3723.8090359999896,34.01553000000001,443.145161,1.2033649999999625,1105.5500100001168,125.26144199999766,0.0033685601056061523,45420,45573,0.003567417585968875,45573,45411,285003,1096,117,21/06/04,15000,1,0.8,4,212937,212937,20,0.5,0,0,0,0,0,110,0,0
wt100_061,100,2,7803.223375280388,7766.210245,7209.7236920000005,3879.6022899999916,40.191223000000036,555.16849,1.2776450000000068,1208.601865000116,118.47644900001808,0.0029490085608629367,45439,45573,0.003567417585968875,45573,45411,263876,1246,97,21/06/04,15000,1,0.8,4,212937,212937,20,0.4,0,0,0,0,0,110,0,0
wt100_066,100,2,7627.028384064324,7593.448893,7180.754876,3465.272694000012,43.92665299999999,411.51107,1.1401119999999878,1002.8263159999321,145.34786199998,0.0007910578816989467,126413,126513,0.0008543965824069112,126513,126405,259733,1339,70,21/06/04,15000,1,0.8,4,191056,191056,20,0.3,0,0,0,0,0,110,0,0
wt100_066,100,2,7737.747406174429,7702.376622,7250.634863,3796.2666849999987,41.99552399999999,450.627052,1.077810999999997,1021.5086359999242,165.67690899998814,0.0007910391089672903,126416,126516,0.0008781298208071031,126516,126405,325954,1315,104,21/06/04,15000,1,0.8,4,191056,191056,20,0.5,0,0,0,0,0,110,0,0
wt100_066,100,2,8445.034593194723,8416.358656,7390.890923,3512.186007000012,39.82742299999995,1023.825692,1.601135999999883,733.0655770000913,129.72063800000979,0.0007831225230721888,126417,126516,0.0008781298208071031,126516,126405,286678,1105,67,21/06/04,15000,1,0.8,4,191056,27797,20,0.2,0,0,0,0,0,110,0,0
wt100_066,100,2,8228.35996845644,8195.798558,7341.084689,3741.395910000002,41.278279999999995,853.625737,1.0484430000000202,846.7978790001567,143.38614499996606,0.0007910578816989467,126413,126513,0.0008543965824069112,126513,126405,379781,1316,142,21/06/04,15000,1,0.8,4,191056,27524,20,0.4,0,0,0,0,0,110,0,0
wt100_086,100,2,7722.583046749234,7694.975407000001,7229.599128000001,3644.2949939999994,70.44429500000001,463.87812399999996,1.4512699999999654,1355.4882340000531,192.21745099999623,0.012837856491735793,36221,36686,0.013257471137014377,36686,36206,200836,1464,62,21/06/04,15000,1,0.8,4,246455,66741,20,0.2,0,0,0,0,0,110,0,0
wt100_086,100,2,8198.41978978645,8172.404178,7520.963527,3686.977040999996,70.63820800000008,649.3954500000001,2.0009509999999864,1191.1495510000502,178.74111199999265,0.009938985671021259,36221,36581,0.010357399325792481,36581,36206,258711,1391,64,21/06/04,15000,1,0.8,4,246455,57459,20,0.3,0,0,0,0,0,110,0,0
wt100_086,100,2,7682.977230207063,7653.570152,7173.253764,3610.1477480000017,57.17624399999994,478.74064000000004,1.5435570000000212,1459.1728380001784,177.110196000016,0.010050528756935954,36217,36581,0.010357399325792481,36581,36206,215868,1395,59,21/06/04,15000,1,0.8,4,246455,57676,20,0.4,0,0,0,0,0,110,0,0
wt100_091,100,2,7800.468496487476,7773.2365039999995,7250.368586,3465.5103809999973,51.283379999999966,521.234313,1.5940389999999525,1120.7461780000503,208.3171459999985,0.0023838913747694502,129620,129929,0.002631416489160791,129929,129588,202225,1295,36,21/06/04,15000,1,0.8,4,211166,43348,20,0.2,0,0,0,0,0,110,0,0
wt100_086,100,2,7881.387306437828,7849.67737,7171.530292,3841.5488309999982,65.63280499999996,676.181648,1.9259040000000596,1166.3934050000248,142.43430199997943,0.0097135603507447,36238,36590,0.010605976909611502,36590,36206,325625,1371,115,21/06/04,15000,1,0.8,4,246455,58409,20,0.5,0,0,0,0,0,110,0,0
wt100_091,100,2,7648.1489431401715,7624.992916,7242.854115,3551.337301999988,53.029398999999955,380.74931100000003,1.3544969999999807,1206.8735679999977,177.29413100000335,0.002430293023882989,129614,129929,0.002631416489160791,129929,129588,207520,1395,101,21/06/04,15000,1,0.8,4,211166,211166,20,0.3,0,0,0,0,0,110,0,0
wt100_091,100,2,7599.115478299558,7573.986904,7200.316521000001,3563.234363000007,48.43575999999996,372.14659600000005,1.4870510000000081,848.7810510000022,145.1016150000068,0.0022215194267074345,129641,129929,0.002631416489160791,129929,129588,274499,1294,91,21/06/04,15000,1,0.8,4,211166,43397,20,0.5,0,0,0,0,0,110,0,0
wt100_091,100,2,7676.148065064102,7650.746875999999,7190.762568,3585.9482480000047,52.68358699999999,458.442437,1.5074430000000234,1196.174734000048,145.58880300001852,0.00270007560209603,129626,129976,0.0029941043923589063,129976,129588,225466,1272,55,21/06/04,15000,1,0.8,4,211166,211166,20,0.4,0,0,0,0,0,110,0,0
wt100_096,100,2,7582.239063139074,7554.699867,7233.741083,3456.719261,65.22398200000003,319.652039,1.277166999999963,512.4794169999113,74.16905200002378,0.00018886781613643784,254146,254194,0.00021248130951360478,254194,254140,395436,1672,123,21/06/04,15000,1,0.8,4,183813,19409,20,0.2,0,0,0,0,0,110,0,0
wt100_096,100,2,7451.251896522939,7426.86502,7181.057527,3328.5593010000157,51.635823000000016,244.527257,1.2431219999999996,640.1585660000108,110.47116700001897,0.00018493234230510322,254147,254194,0.00021248130951360478,254194,254140,277915,1542,115,21/06/04,15000,1,0.8,4,183813,19413,20,0.3,0,0,0,0,0,110,0,0
wt100_096,100,2,7594.017069885507,7567.848751,7182.033853,3414.542902999979,56.60483700000003,384.50271599999996,1.2765960000000405,822.6271090000956,106.7912569999757,0.00019673885671038174,254144,254194,0.00021248130951360478,254194,254140,298903,1485,76,21/06/04,15000,1,0.8,4,183813,183813,20,0.4,0,0,0,0,0,110,0,0
wt100_096,100,2,7922.4748844644055,7897.611918,7238.537619,3617.315958,74.07286499999998,657.694022,1.339467999999897,682.3597559997506,116.52295499996876,0.00018493234230510322,254147,254194,0.00021248130951360478,254194,254140,351981,1474,76,21/06/04,15000,1,0.8,4,183813,19386,20,0.5,0,0,0,0,0,110,0,0
wt100_111,100,2,7912.344325287268,7886.336230999999,7236.814076,3425.28326200002,60.513970000000086,648.021252,1.4642840000000206,880.897641000163,157.35060600001896,0.0020822178594552656,84045,84220,0.00258324107469277,84220,84003,317755,1344,78,21/06/04,15000,1,0.8,4,262253,43345,20,0.2,0,0,0,0,0,110,0,0
wt100_111,100,2,8013.954374086112,7983.598827,7330.290421,3599.4913240000014,56.11077,651.861386,1.4080830000000333,942.7537339998312,165.94612900003028,0.0027138980145370436,84012,84240,0.0028213278096874956,84240,84003,368343,1382,95,21/06/04,15000,1,0.8,4,262253,45909,20,0.3,0,0,0,0,0,110,0,0
wt100_116,100,2,7606.497053653002,7574.004199999999,7175.355016,3662.545500999998,89.12881699999997,397.139128,1.4739959999999996,686.2673040001781,128.26900000001257,0.0005337324116828074,191107,191209,0.0006489258706824244,191209,191085,410008,1515,174,21/06/04,15000,1,0.8,4,228478,29296,20,0.5,0,0,0,0,0,110,0,0
wt100_111,100,2,7796.866532896645,7770.750038,7181.526488,3642.172749000006,67.20113300000003,587.725507,1.4610020000000077,1033.063572999785,230.07366499999523,0.0025474370877967356,84006,84220,0.00258324107469277,84220,84003,322187,1474,120,21/06/04,15000,1,0.8,4,262253,43077,20,0.5,0,0,0,0,0,110,0,0
wt100_121,100,2,7588.761737275869,7563.613906,7178.553522,3455.916657999991,80.29944799999998,383.21558400000004,1.8047530000000052,842.4182440000978,131.98965099998998,0.0002438429651294482,241959,242018,0.00026451308926380833,242018,241954,326302,1634,98,21/06/04,15000,1,0.8,4,209401,209401,20,0.2,0,0,0,0,0,110,0,0
