NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,(),pruning_test,suboptimal_duals,scoring_parameter,scoring_value,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex
wt040_051,40,4,0.1846402371302247,0.161284,0.022002999999999995,0.015595999999999999,0.015601000000000004,0.015841,0.115278,0.015533999999999992,0.014459,0,0,0,0,0,0,1,1,0,21/07/13,10000,1,0.8,4,37056,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_051,40,4,0.18213520105928183,0.145619,0.02445900000000001,0.018441000000000013,0.01844499999999999,0.003186999999999999,0.109071,0.018379000000000006,0.01676600000000003,0,0,0,0,0,0,1,1,0,21/07/13,10000,1,0.8,4,37056,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_076,40,4,0.15325018111616373,0.13223600000000002,0.025138999999999995,0.01996300000000001,0.019967000000000013,0,0.098112,0.019902000000000003,0.018036999999999997,0,0,0,0,0,0,1,1,0,21/07/13,10000,1,0.8,4,34098,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_076,40,4,0.15035630483180285,0.117293,0.024438000000000015,0.019225999999999993,0.019228999999999996,0.0022210000000000008,0.077809,0.019157999999999994,0.017462000000000005,0,0,0,0,0,0,1,1,0,21/07/13,10000,1,0.8,4,34098,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_101,40,4,0.1426033927127719,0.10878199999999999,0.021051,0.016026,0.016029,0.000364999999999999,0.086546,0.015976000000000004,0.014584999999999987,0,0,0,0,0,0,1,1,0,21/07/13,10000,1,0.8,4,38696,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_101,40,4,0.14705227501690388,0.132157,0.02322500000000001,0.017318,0.017322000000000004,0.00029900000000000065,0.105013,0.017264,0.01556600000000001,0,0,0,0,0,0,1,1,0,21/07/13,10000,1,0.8,4,38696,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_106,40,4,0.15496671292930841,0.135994,0.024826,0.019179,0.019182000000000005,0.0007200000000000002,0.10749399999999999,0.019114000000000006,0.017606999999999998,0,0,0,0,0,0,1,1,0,21/07/13,10000,1,0.8,4,42798,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_106,40,4,0.15715516917407513,0.12443399999999999,0.024478,0.018368999999999983,0.018373999999999988,0.0005949999999999992,0.095949,0.018305000000000016,0.016839000000000034,0,0,0,0,0,0,1,1,0,21/07/13,10000,1,0.8,4,42798,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_046,40,4,21.35706175211817,21.265917,0.8120270000000005,0.8079150000000013,0.8079189999999983,20.400696,0.0430400000000013,0.8069440000000299,0.22451700000000585,0,19124,19124,0,19124,19124,382,382,0,21/07/13,10000,1,0.8,4,26094,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_071,40,4,21.757630373351276,21.629074,0.909208999999997,0.9050060000000002,0.9050089999999997,20.642215999999998,0.06589699999999965,0.9039830000000251,0.31846199999999314,0,26740,26740,0,26740,26740,388,388,0,21/07/13,10000,1,0.8,4,33852,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_096,40,4,24.363825120031834,24.248249,1.0973199999999999,1.089772,1.0897749999999995,23.067494,0.07900100000000165,1.088784999999998,0.3931840000000051,0,36266,36266,0,36266,36266,299,299,0,21/07/13,10000,1,0.8,4,36790,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_021,40,4,25.69993686117232,25.579382,1.1352270000000004,1.1271229999999974,1.1271270000000015,24.387281,0.04875099999999932,1.1259399999999928,0.40195900000001217,0,22793,22793,0,22793,22793,362,362,0,21/07/13,10000,1,0.8,4,26748,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_021,40,4,25.7068507457152,25.622934,1.169786000000002,1.162310999999999,1.162315000000003,24.38747,0.05334900000000076,1.1612169999999722,0.4381529999999927,0,22793,22793,0,22793,22793,335,335,0,21/07/13,10000,1,0.8,4,26748,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,26.07840104121715,25.985191,0.2897430000000014,0.28292600000000334,0.28293000000000035,25.621691000000002,0.06525700000000256,0.28248900000000177,0.04263200000000111,0,88,88,0,88,88,123,123,0,21/07/13,10000,1,0.8,4,32844,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_011,40,4,26.86079632677138,26.620503,1.332733000000001,0.7902610000000116,0.5138859999999994,25.229796,0.04995800000000017,0.7619870000000226,0.12033499999997588,0,5737,5737,0.000348735832545992,5737,5735,333,306,1,21/07/13,10000,1,0.8,4,31252,6043,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,26.854305433109403,26.724415,0.21203400000000272,0.20759599999999878,0.20759800000000084,26.453009,0.0512730000000019,0.20724699999997398,0.024329999999999075,0,88,88,0,88,88,121,121,0,21/07/13,10000,1,0.8,4,32844,0,8,0.5,true,false,false,0,0,0,0,0,0,0,110,0,0,0
