NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement
wt040_001,40,2,29.603693450801075,29.422060999999999,3.134246000000001,2.4948100000000082,1.0795759999999994,26.143861999999999,0.13566999999999751,1.7082929999999337,0.97647699999999915,0,606,606,0.037671232812206794,606,584,382,193,2,21/06/18,15000,1,0.80000000000000004,4,25468,14583,20,0.20000000000000001,false
wt040_001,40,2,29.496882676146924,29.263655,3.2606479999999998,2.688326,1.1222320000000003,25.854735000000002,0.14399799999999985,1.7399410000000266,0.93883099999999331,0,606,606,0.037671232812206794,606,584,501,206,2,21/06/18,15000,1,0.80000000000000004,4,25468,14556,20,0.40000000000000002,false
wt040_001,40,2,22.534286486916244,22.320967999999997,2.6663999999999994,2.1351539999999964,0.70504199999999884,19.561925000000002,0.087472000000001771,1.4452820000000095,0.92398899999997397,0,606,606,0.037671232812206794,606,584,486,219,2,21/06/18,15000,1,0.80000000000000004,4,25468,14564,20,0.5,false
wt040_001,40,2,30.087781577371061,29.849393000000003,2.4680719999999994,1.936431000000006,0.80566600000000221,27.256478999999999,0.12061399999999978,1.1349349999999596,0.63961599999999663,0,606,606,0.037671232812206794,606,584,409,185,2,21/06/18,15000,1,0.80000000000000004,4,25468,14593,20,0.59999999999999998,false
wt040_001,40,2,30.174012710340321,29.915595999999997,2.689623000000001,2.1132520000000028,1.0155180000000001,27.097381000000002,0.12431999999999732,1.2732909999999897,0.6835360000000108,0,606,606,0.037671232812206794,606,584,416,211,2,21/06/18,15000,1,0.80000000000000004,4,25468,14585,20,0.80000000000000004,false
wt040_006,40,2,25.316905735991895,25.108167999999999,2.2883620000000029,1.8796789999999994,0.99560200000000165,22.729230000000001,0.084460999999997455,1.2309009999999887,0.67701599999999829,0,3886,3886,0.0028387096766867848,3886,3875,580,255,4,21/06/18,15000,1,0.80000000000000004,4,27343,7874,20,0.20000000000000001,false
wt040_006,40,2,34.743612023070455,34.486046000000002,2.3066669999999974,1.9178799999999967,1.4600769999999983,32.024055999999995,0.15046399999999949,1.2141580000000118,0.61160200000001197,0,3886,3886,0.0028387096766867848,3886,3875,398,253,2,21/06/18,15000,1,0.80000000000000004,4,27343,7458,20,0.40000000000000002,false
wt040_006,40,2,31.796232167631388,31.560616,3.0254539999999999,2.4047409999999942,0.96872399999999814,28.440563999999998,0.090216000000001628,1.6537440000000387,0.9826780000000177,0,3886,3886,0.0028387096766867848,3886,3875,766,237,4,21/06/18,15000,1,0.80000000000000004,4,27343,7872,20,0.5,false
wt040_006,40,2,39.025756762363017,38.787371,3.1885289999999955,2.5036200000000051,1.1581019999999995,35.471324000000003,0.12340799999999774,1.6602230000000091,1.0481430000000316,0,3886,3886,0.0028387096766867848,3886,3875,460,232,4,21/06/18,15000,1,0.80000000000000004,4,27343,7865,20,0.59999999999999998,false
wt040_006,40,2,38.026792134158313,37.773627999999995,3.2233289999999997,2.6942230000000009,1.5217050000000043,34.408948000000002,0.14070000000000249,1.8222869999999247,1.1318120000000036,0,3886,3886,0.0028387096766867848,3886,3875,468,256,3,21/06/18,15000,1,0.80000000000000004,4,27343,7876,20,0.80000000000000004,false
