Inst,n,m,UBPessoa,LB_ROOT_Pessoa,TimeRootPessoa,TimeBCPPessoa,TimeCPLEXPessoa,BestOveralllPessoa,TimePessoa,OptPessoa,UBOliveira,LBRootOliveira,TimeRootOliveira,TimeBCPOliveira,TimeCPLEXOliveira,BestOverallOliveira,TimeOliveira,OptOliveira
1,100,4,2001,2001,1337.3,,,Root,1337.3,2001,2001,2001,156.09999999999999,,,Root,156.09999999999999,2001
11,100,4,50236,50203,1439.4000000000001,>14400,,,>14400,≤50236,50232,50203,315.39999999999998,>14106.9,49519.510000000002,MIP,49834.900000000001,50232
16,100,4,110222,110118,1449.2,>14400,>86400,,>14400,≤110222,110219,110120,249.5,>14164.0,≥86400,,86400,≤110219
21,100,4,237392,237390,1493.8,5.5,29,BCP,1499.3,237392,237392,237391,375.80000000000001,10.1,2.52,BCP,385.89999999999998,237392
31,100,4,7130,7082,1901.5,>14400,,,>14400,≤7130,7130,7082,311.19999999999999,>14242.3,≥86400,,86400,≤7130
36,100,4,30791,30783,2201.3000000000002,>14400,,,>14400,≤30791,30791,30782,427.89999999999998,>14035.1,610.22000000000003,MIP,1038.0999999999999,30791
41,100,4,126193,126144,1493.5999999999999,11041.299999999999,41682.900000000001,BCP,12534.9,126185,126185,126147,1376.4000000000001,6314.3999999999996,1617.6099999999999,MIP,2994,126185
46,100,4,219537,219529,1372,256.30000000000001,800.89999999999998,BCP,1628.3,219536,219536,219529,578.29999999999995,401.89999999999998,170.21000000000001,MIP,748.5,219536
56,100,4,3076,3030,1727.3,>14400,,,>14400,≤3076,3076,3030,586.29999999999995,>13884.5,≥86400,,86400,≤3076
61,100,4,24868,24821,1682.5,>14400,>86400,,>14400,≤24868,24856,24825,548.79999999999995,>13936.3,1233.98,MIP,1782.8,24856
66,100,4,67979,67954,1267.7,2885.6999999999998,3738.1999999999998,BCP,4153.3999999999996,67967,67970,67955,723,2134.0999999999999,483.19999999999999,MIP,1206.2,67967
71,100,4,170699,170675,862.89999999999998,>14400,81028.100000000006,MIP,81891,170689,170691,170675,568.39999999999998,>85907.8,3874.1199999999999,MIP,4442.5,170689
81,100,4,819,772,1594.4000000000001,>14400,,,>14400,≤819,819,784,466.10000000000002,767.89999999999998,5785.4300000000003,BCP,1234,819
86,100,4,21299,21218,1379,>14400,>86400,,>14400,≤21299,21286,21220,823.79999999999995,>13608.3,15326.799999999999,MIP,16150.6,21282
91,100,4,70612,70589,2119.4000000000001,1436.3,7318,BCP,3555.6999999999998,70606,70608,70588,1269.8,1716.0999999999999,401.22000000000003,MIP,1671,70606
96,100,4,133591,133575,878.60000000000002,3156.3000000000002,1930.3,MIP,2808.9000000000001,133587,133587,133575,1028.7,332.39999999999998,122.28,MIP,1151,133587
111,100,4,46763,46630,1704.5999999999999,>14400,>86400,,>14400,≤46747,46719,46633,957.10000000000002,>13496.4,28468.369999999999,MIP,29425.5,46704
116,100,4,101563,101520,1374.5999999999999,>14400,156440.10000000001,MIP,157814.70000000001,101546,101551,101521,790.39999999999998,55690,3608.02,MIP,4398.3999999999996,101546
121,100,4,127639,127597,1389.5999999999999,>14400,108063.89999999999,MIP,109453.5,127618,127619,127598,904.89999999999998,17652.200000000001,815.17999999999995,MIP,1720.0999999999999,127618
