NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_051,40,4,0.03241084888577461,0.027424000000000004,0.002339000000000001,0.001561999999999994,0.001564999999999997,0.013749,0.0026590000000000016,0.0014979999999999993,0.0012129999999999988,0,0,0,0,0,0,1,1,0,21/07/07,15000,1,0.8,9,25133,25133,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_051,40,4,0.1803905963897705,0.143158,0.022274000000000016,0.014891999999999989,0.014894999999999992,0.035365999999999995,0.08047699999999999,0.01483799999999999,0.01372699999999999,0,0,0,0,0,0,1,1,0,21/07/07,15000,1,0.8,4,37056,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_051,40,4,0.22189010493457317,0.19000399999999998,0.085348,0.07444100000000001,0.074447,0.002764000000000001,0.097312,0.07299800000000001,0.060834,0,0,0,0,0,0,1,1,0,21/07/07,15000,1,0.8,10,467850,25823,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_016,40,4,27.20626354124397,27.134454,0.5127880000000005,0.5100440000000006,0.5100470000000001,26.616327,0.0014839999999978204,0.5092249999999581,0.001648999999996903,0.0006517994319730062,21479,21493,0.0006517994319730062,21493,21479,352,352,0,21/07/07,15000,1,0.8,9,21324,21324,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,27.207422320730984,27.079417000000003,0.6142010000000013,0.6073379999999986,0.6073440000000012,26.41074,0.04623600000000039,0.6059840000000314,0.03513900000000092,0,88,88,0,88,88,122,122,0,21/07/07,15000,1,0.8,10,410663,22612,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,27.328127028420568,27.232136999999998,0.1924349999999997,0.18651099999999943,0.186515,26.977733,0.0577430000000021,0.18621900000002967,0.03993300000000133,0,88,88,0,88,88,107,107,0,21/07/07,15000,1,0.8,4,32844,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,27.61254317034036,27.544562,0.08184999999999931,0.07787599999999983,0.07787899999999937,27.457196999999997,0.001450999999999425,0.07763200000000836,0.0005260000000006926,0,88,88,0,88,88,89,89,0,21/07/07,15000,1,0.8,9,22009,22009,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_016,40,4,29.26752669084817,29.155821000000003,0.8702939999999977,0.8646809999999974,0.8646840000000005,28.24091,0.040783000000001124,0.8639429999999564,0.5401820000000015,0.00041891640288498804,21484,21493,0.00041891640288498804,21493,21484,209,209,0,21/07/07,15000,1,0.8,4,34062,2567,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_011,40,4,29.848217277787626,29.77231,0.2680490000000013,0.26506200000000035,0.2650649999999999,29.498971,0.001373999999998432,0.2644799999999634,0.0019479999999987285,0.000348735832545992,5735,5737,0.000348735832545992,5737,5735,229,229,0,21/07/07,15000,1,0.8,9,20896,20896,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_001,40,4,30.5434439079836,30.439965,0.23541900000000027,0.2324230000000007,0.23242600000000024,30.152969,0.043130000000001445,0.23119800000000268,0.049924000000000746,0.002283105017618482,438,439,0.002283105017618482,439,438,141,141,0,21/07/07,15000,1,0.8,4,29818,10624,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_001,40,4,31.958689936436713,31.866177,0.633065000000002,0.6280699999999975,0.628074999999999,31.172704,0.055989999999997764,0.6266759999999856,0.03899799999999942,0.002283105017618482,438,439,0.002283105017618482,439,438,142,142,0,21/07/07,15000,1,0.8,10,400188,88649,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_016,40,4,33.25959940999746,33.127467,0.8918310000000034,0.8876619999999988,0.887668000000005,32.188787000000005,0.042894000000003984,0.8860220000000254,0.14717500000001138,0.0005120566055063747,21482,21493,0.0005120566055063747,21493,21482,254,254,0,21/07/07,15000,1,0.8,10,398064,26329,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
