NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_051,40,4,0.15526063740253448,0.143371,0.03314700000000001,0.027088000000000001,0.027091000000000004,0.0025020000000000008,0.095653999999999989,0.027046000000000001,0.024472999999999995,0,0,0,0,0,0,1,1,0,21/07/09,15,1,0.80000000000000004,4,37056,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_051,40,4,0.21552947722375393,0.1953,0.062740999999999991,0.056709000000000009,0.056714000000000014,0.010282000000000003,0.11377899999999999,0.056598000000000009,0.052273999999999987,0,0,0,0,0,0,1,1,0,21/07/09,15,1,0.80000000000000004,4,37056,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_076,40,4,0.23273331392556429,0.20131599999999999,0.064924000000000009,0.055175000000000002,0.055177000000000004,0.0012689999999999993,0.13506399999999999,0.055140999999999996,0.052308999999999994,0,0,0,0,0,0,1,1,0,21/07/09,15,1,0.80000000000000004,4,34098,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_076,40,4,0.26666366588324308,0.22518199999999999,0.076026999999999983,0.063974999999999976,0.063980999999999982,0.0011159999999999989,0.13941200000000001,0.063890000000000002,0.060116000000000003,0,0,0,0,0,0,1,1,0,21/07/09,15,1,0.80000000000000004,4,34098,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,0.84371626842767,0.81986400000000004,0.64217900000000006,0.63348599999999999,0.63349,0.068942000000000003,0.10051800000000001,0.63281699999999974,0.12773699999999999,0,88,88,0,88,88,129,129,0,21/07/09,15,1,0.80000000000000004,4,32844,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_001,40,4,0.88837193697690964,0.84429300000000007,0.68565600000000004,0.68295500000000009,0.68296800000000002,0.076187999999999992,0.075357999999999994,0.68079800000000013,0.15066400000000008,0.0022831050176184819,438,439,0.0022831050176184819,439,438,150,150,0,21/07/09,15,1,0.80000000000000004,4,29818,10624,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_001,40,4,0.93851445335894823,0.90750600000000003,0.71737600000000001,0.71386400000000005,0.71386499999999997,0.11992699999999999,0.065544999999999992,0.71318300000000012,0.19634299999999999,0.0022831050176184819,438,439,0.0022831050176184819,439,438,143,143,0,21/07/09,15,1,0.80000000000000004,4,29818,10624,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_056,40,4,1.0272293584421277,0.98213799999999996,0.74949700000000008,0.74487000000000003,0.74487800000000004,0.12088499999999999,0.10763,0.74126999999999998,0.16363199999999989,0.035087719254276041,798,826,0.035087719254276041,826,798,140,140,0,21/07/09,15,1,0.80000000000000004,4,34522,14530,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,1.104572631418705,1.072497,0.85598200000000002,0.84342199999999989,0.84342699999999993,0.092182,0.12016800000000001,0.8426570000000001,0.21230099999999985,0,88,88,0,88,88,123,123,0,21/07/09,15,1,0.80000000000000004,4,32844,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_056,40,4,1.072726801969111,1.0206379999999999,0.82013099999999994,0.81527599999999989,0.81529200000000002,0.093104999999999993,0.099106,0.81135699999999977,0.20857199999999998,0.098997493610278833,798,877,0.098997493610278833,877,798,131,131,0,21/07/09,15,1,0.80000000000000004,4,34522,17350,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
