n,m,NameInstance,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,total_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,scoring_value,use_cpu_time
40,2,wt040_001,15.03459898,15.03528,6.39477,4.56488,0.7186,8.51207,0.11888,4.54472,2.84008,0,606,606,0.037671233,606,584,509,189,50934,28236,0,0,0,0,0,110,0,0,0,3,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_006,18.48336243,18.4842,7.04757,4.58121,0.9998,11.30179,0.12557,4.5529,2.40723,0,3886,3886,0.00283871,3886,3875,816,263,54678,14985,0,0,0,0,0,110,0,0,0,2,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_011,15.03603824,15.03672,3.36259,1.90302,0.97101,11.54938,0.11564,1.89783,0.63756,0,9617,9617,0.002606339,9617,9592,388,262,53120,11066,0,0,0,0,0,110,0,0,0,1,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_016,101.2761736,101.28075,88.03713,42.21798,1.69507,13.11141,0.12197,42.11844,16.75095,0,38356,38356,0.002063903,38356,38277,5136,334,57228,10302,0,0,0,0,0,110,0,0,0,15,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_021,12.07445,12.075,1.69759,1.67826,1.69534,10.28369,0.08507,1.67561,0.59268,0,41048,41048,0,41048,41048,504,504,40900,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_026,8.552695068,8.55308,0.81937,0.79901,0.81606,7.59466,0.12952,0.79746,0.11313,0,87,87,0,87,87,199,199,59514,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_031,27.72581062,27.72706,14.92574,10.57168,1.17234,12.64235,0.14998,10.52696,6.28127,0,3812,3812,0.014369345,3812,3758,1182,252,68310,22144,0,0,0,0,0,110,0,0,0,4,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_036,72.82786931,72.83116,55.54125,28.17785,1.44768,17.13505,0.14622,28.04459,12.42556,0,10713,10713,0.004971857,10713,10660,5607,330,63192,9905,0,0,0,0,0,110,0,0,0,25,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_041,17.42046959,17.42126,2.25298,2.23168,2.24878,15.03083,0.12866,2.22771,0.70124,0,30802,30802,0,30802,30802,629,629,61714,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_046,12.80661085,12.80719,1.70111,1.6819,1.69803,11.01026,0.08744,1.67839,0.39281,0,34146,34146,0,34146,34146,589,589,34756,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_051,0.199442109,0.19945,0.04668,0.02723,0.04384,0.00066,0.14337,0.02718,0.02482,0,0,0,0,0,0,1,1,69618,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_056,16.42642212,16.42716,4.60251,2.45519,0.93962,11.68954,0.12628,2.44094,1.05675,0,1279,1279,0.005503145,1279,1272,391,208,62972,27421,0,0,0,0,0,110,0,0,0,3,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_061,311.3534499,311.36746,292.4189,175.84479,1.71139,18.78901,0.14998,175.19863,74.39837,0,11488,11488,0.016457264,11488,11302,35317,359,69558,19609,0,0,0,0,0,110,0,0,0,88,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_066,245.435247,245.4463,229.683,120.31489,2.11647,15.58859,0.16576,120.04726,59.19293,0,35279,35279,0.004241389,35279,35130,12877,361,68952,15691,0,0,0,0,0,110,0,0,0,31,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_071,24.46271096,24.46382,10.98826,5.39132,2.301,13.34014,0.12655,5.38255,1.74834,0,47952,47952,0.000354647,47952,47935,805,465,50128,3888,0,0,0,0,0,110,0,0,0,2,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_076,0.181406585,0.18141,0.04371,0.02362,0.04103,0.00061,0.12844,0.02357,0.0215,0,0,0,0,0,0,1,1,62410,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_081,48.76823539,48.77044,19.80158,13.75316,1.44479,28.82419,0.13364,13.70615,8.19303,0,571,571,0.266075387,571,451,1417,309,66352,24382,0,0,0,0,0,110,0,0,0,8,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_086,30.75265447,30.75404,11.66764,7.66647,1.88576,18.90563,0.16996,7.64483,2.98792,0,6048,6048,0.008672448,6048,5996,1631,421,71928,7660,0,0,0,0,0,110,0,0,0,3,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_091,19.57684097,19.57773,2.69219,2.67091,2.68794,16.68122,0.19285,2.66752,1.36152,0,26075,26075,0,26075,26075,440,440,71306,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_096,18.48859374,18.48943,5.46597,3.27303,2.45676,12.85623,0.15807,3.26818,1.19553,0,66116,66116,9.08E-05,66116,66110,585,454,62500,2397,0,0,0,0,0,110,0,0,0,1,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_101,0.225505407,0.22551,0.05546,0.03567,0.05157,0.00061,0.15931,0.03562,0.0324,0,0,0,0,0,0,1,1,74392,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_106,0.250831216,0.25084,0.06833,0.04659,0.06289,0.00066,0.17213,0.04654,0.04306,0,0,0,0,0,0,1,1,82078,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_111,57.95446457,57.95708,38.14866,19.03685,2.21612,19.6093,0.18796,18.97998,7.54253,0,17936,17936,0.002179136,17936,17897,3572,389,85720,5711,0,0,0,0,0,110,0,0,0,11,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_116,79.16356005,79.16713,60.73804,31.84668,1.85967,18.26464,0.15474,31.75523,13.23223,0,25870,25870,0.004114268,25870,25764,5170,367,68976,11471,0,0,0,0,0,110,0,0,0,12,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,2,wt040_121,19.67219242,19.67308,5.71673,3.37387,2.64847,13.78384,0.16365,3.36831,1.17889,0,64516,64516,0.00013952,64516,64507,630,469,68842,1653,0,0,0,0,0,110,0,0,0,1,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_001,17.38909899,17.38986,0.69161,0.40375,0.29448,16.61648,0.06111,0.40137,0.10276,0,439,439,0.002283105,439,438,160,147,29818,10624,0,0,0,0,0,110,0,0,0,1,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_006,20.33106757,20.33196,1.51712,0.72376,0.40203,18.73567,0.0595,0.72101,0.14191,0,2374,2374,0.00084317,2374,2372,206,193,30490,5143,0,0,0,0,0,110,0,0,0,1,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_011,18.76559398,18.76642,1.5021,0.68209,0.38422,17.18611,0.05891,0.67932,0.10662,0,5737,5737,0.000348736,5737,5735,217,184,31252,3828,0,0,0,0,0,110,0,0,0,1,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_016,32.52328614,32.52472,16.82765,5.6414,0.92299,15.61037,0.06734,5.61721,1.91738,0,21493,21493,0.000418916,21493,21484,1148,264,34062,2439,0,0,0,0,0,110,0,0,0,14,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_021,13.42215466,13.42275,0.80282,0.78403,0.80105,12.54977,0.05059,0.78246,0.28121,0,22793,22793,0,22793,22793,325,325,26748,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_026,15.4267864,15.42747,0.26297,0.24345,0.261,15.08364,0.06155,0.24269,0.03021,0,88,88,0,88,88,127,127,32844,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_031,22.4275099,22.4285,2.1882,1.37698,0.50388,20.14651,0.07362,1.37209,0.38245,0,2525,2525,0.01161859,2525,2496,412,208,36764,8358,0,0,0,0,0,110,0,0,0,1,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_036,43.72269819,43.72463,22.21642,11.37489,1.00545,21.41546,0.07343,11.34391,4.72823,0,6420,6420,0.010228167,6420,6355,1319,191,37210,7446,0,0,0,0,0,110,0,0,0,7,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_041,27.65568038,27.6569,9.55641,4.76893,0.98329,18.00154,0.07972,4.76138,2.00943,0,17685,17685,0.002949016,17685,17633,513,207,36340,7269,0,0,0,0,0,110,0,0,0,2,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_046,14.37440208,14.37504,0.74198,0.72366,0.74029,13.55995,0.05392,0.72214,0.22896,0,19124,19124,0,19124,19124,324,324,26094,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_051,0.19069479,0.1907,0.03317,0.01241,0.03109,0.00328,0.135,0.01235,0.01118,0,0,0,0,0,0,1,1,37056,0,0,0,0,0,0,110,0,0,0,0,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_056,25.60125793,25.60239,5.79855,3.60456,0.31169,19.72147,0.06254,3.5624,2.03833,0,826,826,0.035087719,826,798,725,140,34522,15124,0,0,0,0,0,110,0,0,0,5,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
40,4,wt040_061,75.91094018,75.91433,53.13786,22.4164,0.83412,22.68269,0.07284,22.33642,7.81308,0,7357,7357,0.005741627,7357,7315,3891,213,37862,5432,0,0,0,0,0,110,0,0,0,31,10/12/2021,7500,1,0.8,3,8,0.7,false,false,false,3,0,false
