NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt040_001,40,2,41.461174387484789,40.837000000000003,13.476839999999999,10.351557999999997,1.0605989999999998,27.212754999999998,0.14713400000000121,9.3261799999999972,8.1503720000000008,0,606,606,0.037671232812206794,606,584,514,187,3,21/06/30,15000,1,0.80000000000000004,4,25468,14564,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_001,40,2,40.461658795364201,39.785359,11.947344999999999,9.8999639999999935,1.363507000000002,27.697037000000002,0.13590400000000002,8.9507629999999772,7.0157259999999759,0,606,606,0.037671232812206794,606,584,452,195,2,21/06/30,15000,1,0.80000000000000004,3,25468,14575,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_006,40,2,38.37942086532712,37.270192000000002,5.2290059999999983,2.6498489999999819,1.3302770000000024,31.918867000000002,0.11761999999999873,1.9042780000000619,1.1576990000000151,0,3886,3886,0.0028387096766867848,3886,3875,501,230,2,21/06/30,15000,1,0.80000000000000004,4,27343,7891,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_006,40,2,33.948296057991683,33.256962999999999,6.0011610000000033,3.2194149999999979,1.4675100000000008,27.159521999999999,0.091204000000001173,2.6030120000000387,1.5547650000000282,0,3886,3886,0.0028387096766867848,3886,3875,499,249,3,21/06/30,15000,1,0.80000000000000004,3,27343,7895,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_011,40,2,45.487123039551079,44.691396999999995,10.140672000000002,5.7629230000000007,1.9784509999999997,34.417149999999999,0.12981800000000021,4.521244000000074,3.5791270000000139,0,9617,9617,0.0026063386152412075,9617,9592,641,252,2,21/06/30,15000,1,0.80000000000000004,4,26561,5736,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_011,40,2,45.226571495644748,44.370934999999996,22.035958000000001,19.167814999999997,1.7031320000000001,22.242884,0.088470000000000937,17.391940999999949,14.318947000000112,0,9617,9617,0.0026063386152412075,9617,9592,1291,234,2,21/06/30,15000,1,0.80000000000000004,3,26561,5968,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_016,40,2,149.99553001765162,146.87717899999998,108.15722,54.776256999999987,6.8157180000000039,38.559606000000002,0.15589000000000652,46.51904199999975,35.993747000000631,0,38356,38356,0.0022210028480515011,38356,38271,3889,369,10,21/06/30,15000,1,0.80000000000000004,3,28623,5820,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_016,40,2,496.53743274882436,482.09164099999998,454.20215300000001,198.43162800000039,2.6149379999999987,27.776419000000001,0.10869300000000237,141.25940299999991,116.53685400000091,0,38356,38356,0.0020639026046434176,38356,38277,42815,364,131,21/06/30,15000,1,0.80000000000000004,4,28623,5539,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_021,40,2,32.711411617696285,32.104137000000001,3.9536829999999981,3.9445879999999995,3.9445920000000001,28.050958999999999,0.095318999999999932,2.6518889999999651,1.9291909999999994,0,41048,41048,0,41048,41048,504,504,0,21/06/30,15000,1,0.80000000000000004,4,20451,0,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
wt040_021,40,2,36.912514361552894,36.019626000000002,5.6874819999999993,5.674159999999997,5.6741649999999986,30.210372999999997,0.1145440000000022,4.3598550000000493,2.2202949999999859,0,41048,41048,0,41048,41048,514,514,0,21/06/30,15000,1,0.80000000000000004,3,20451,0,8,0.20000000000000001,false,0,0,0,0,0,110,0,0
