NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_051,40,4,0.0359756276011467,0.026876999999999998,0.007454000000000002,0.0023199999999999957,0.0023229999999999987,0.016354999999999998,0.002657000000000003,0.002257000000000002,0.0018640000000000045,0,0,0,0,0,0,1,1,0,21/07/08,15000,1,0.8,9,25133,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_051,40,4,0.14076896011829376,0.12024699999999999,0.022312000000000012,0.015461000000000003,0.015463000000000005,0.010554999999999998,0.08279700000000001,0.015407000000000004,0.014295000000000002,0,0,0,0,0,0,1,1,0,21/07/08,15000,1,0.8,4,37056,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_051,40,4,0.2392298523336649,0.19472,0.081767,0.07417900000000002,0.07418599999999997,0.020524,0.087594,0.07278899999999999,0.06112500000000001,0,0,0,0,0,0,1,1,0,21/07/08,15000,1,0.8,10,467850,25823,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_046,40,4,23.571547118015587,23.471378,0.6953260000000014,0.6884529999999991,0.6884569999999997,22.744609999999998,0.026813999999998117,0.6869980000000027,0.0864519999999942,0,19124,19124,0,19124,19124,282,282,0,21/07/08,15000,1,0.8,10,302760,16577,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,26.637291190214455,26.529145,0.19180399999999764,0.1873660000000008,0.18736900000000034,26.286336,0.042645000000000266,0.187022000000038,0.02357200000000148,0,88,88,0,88,88,124,124,0,21/07/08,15000,1,0.8,4,32844,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,26.89288351032883,26.796813999999998,0.5690260000000009,0.5618590000000019,0.5618630000000024,26.164596999999997,0.0546239999999969,0.5604830000000014,0.03550199999999748,0,88,88,0,88,88,120,120,0,21/07/08,15000,1,0.8,10,410663,22612,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_026,40,4,27.364347426220775,27.268251,0.09618700000000047,0.0955719999999971,0.09557399999999916,27.168052,0,0.09526500000000127,0.0019159999999978083,0,88,88,0,88,88,110,110,0,21/07/08,15000,1,0.8,9,22009,0,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_011,40,4,29.467372479848564,29.415548,0.28845600000000005,0.28550399999999954,0.2855070000000026,29.117547,0.0013809999999985223,0.2848709999999919,0.0022090000000005716,0.000348735832545992,5735,5737,0.000348735832545992,5737,5735,250,250,0,21/07/08,15000,1,0.8,9,20896,3624,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_011,40,4,30.41011755913496,30.301938,0.4421980000000012,0.43810099999999963,0.4381050000000002,29.806996,0.0423720000000003,0.43693899999999175,0.15254499999999993,0.000348735832545992,5735,5737,0.000348735832545992,5737,5735,213,213,0,21/07/08,15000,1,0.8,4,31256,3769,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_001,40,4,30.475966631434858,30.375731,0.7456229999999984,0.743465999999998,0.7434700000000021,29.585179,0.03665300000000116,0.7420439999999857,0.0505609999999983,0.002283105017618482,438,439,0.002283105017618482,439,438,164,164,0,21/07/08,15000,1,0.8,10,400188,88649,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_016,40,4,31.217322210781276,31.145538,0.6981540000000024,0.6928350000000023,0.6928380000000018,30.443317,0,0.6920700000000295,0.016538999999998083,0.0006517994319730062,21479,21493,0.0006517994319730062,21493,21479,235,235,0,21/07/08,15000,1,0.8,9,21324,1913,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_001,40,4,32.22177197597921,32.109193,0.2284240000000004,0.22542900000000188,0.2254320000000014,31.832894999999997,0.03904100000000099,0.2242130000000131,0.0393190000000061,0.002283105017618482,438,439,0.002283105017618482,439,438,144,144,0,21/07/08,15000,1,0.8,4,29818,9984,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
wt040_001,40,4,32.69868917576969,32.602436,0.12866000000000355,0.126529000000005,0.12653099999999995,32.463882000000005,0.001322999999999297,0.12614099999999695,0.0012139999999973838,0.002283105017618482,438,439,0.002283105017618482,439,438,155,155,0,21/07/08,15000,1,0.8,9,21455,10442,20,0.5,false,false,false,0,0,0,0,0,0,110,0,0,0
