n,m,NameInstance,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,total_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,scoring_value,use_cpu_time
40,4,wt040_021,17.71797612,17.71877,0.48882,0.47045,0.48876,17.21598,0.00143,0.46994,0.00094,4.39E-05,22792,22793,4.39E-05,22793,22792,280,280,19312,546,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_026,20.71328882,20.71422,0.41769,0.39859,0.41607,20.21895,0.06508,0.39794,0.01275,0,88,88,0,88,88,132,132,32844,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_026,21.65613913,21.65711,0.64477,0.62163,0.63971,20.93169,0.06821,0.62036,0.02801,0,88,88,0,88,88,105,105,410663,22612,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_016,23.03906297,23.0401,0.5676,0.53786,0.56754,22.45882,0.00174,0.53728,0.00164,0.000651799,21479,21493,0.000651799,21493,21479,213,213,21324,1933,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_016,23.64269587,23.64376,0.56298,0.54441,0.56289,22.99803,0.07098,0.54318,0.01809,0.000418916,21484,21493,0.000418916,21493,21484,241,241,34062,2302,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_011,24.22136994,24.22246,0.55603,0.52765,0.55592,23.56889,0.08548,0.52537,0.01916,0.000348736,5735,5737,0.000348736,5737,5735,194,194,31252,3801,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_051,0.157530852,0.15754,0.04921,0.01981,0.04671,0.00173,0.09868,0.01973,0.01706,0,0,0,0,0,0,1,1,37056,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_051,0.155978236,0.15598,0.04563,0.0164,0.04311,0.00223,0.10019,0.01633,0.0148,0,0,0,0,0,0,1,1,37056,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_051,0.238763772,0.23877,0.09929,0.06367,0.09181,0.02166,0.1098,0.06236,0.05209,0,0,0,0,0,0,1,1,467850,25823,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_001,24.90521201,24.90633,0.29268,0.27502,0.29257,24.53899,0.06229,0.27302,0.01926,0.002283105,438,439,0.002283105,439,438,155,155,29818,10624,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_051,0.05108761,0.05109,0.03079,0.00268,0.0303,0.01046,0.00188,0.00256,0.00218,0,0,0,0,0,0,1,1,25133,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_006,25.29324852,25.29438,0.20937,0.19188,0.20932,25.07099,0.00111,0.19128,0.00088,0.00084317,2372,2374,0.00084317,2374,2372,160,160,20571,5950,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_026,26.15742364,26.1586,0.16207,0.1338,0.16139,25.9819,0.00185,0.13348,0.00179,0,88,88,0,88,88,101,101,22009,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_011,27.3756355,27.37686,1.62952,1.61225,1.62939,25.66865,0.06617,1.61079,0.04178,0.000348736,5735,5737,0.000348736,5737,5735,207,207,390292,36022,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_021,27.82587312,27.82712,1.0033,0.98398,1.00179,26.75686,0.05464,0.98277,0.01163,0,22793,22793,0,22793,22793,352,352,26748,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_041,28.18935378,28.19062,1.30253,1.28386,1.30241,26.81344,0.06556,1.28234,0.03473,0.00289214,17634,17685,0.00289214,17685,17634,190,190,401289,38054,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_001,28.42854668,28.42982,0.15507,0.13789,0.15498,28.26129,0.00132,0.13758,0.00086,0.002283105,438,439,0.002283105,439,438,150,150,21455,10442,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_021,28.54367675,28.54496,0.72815,0.70692,0.7255,27.74678,0.05747,0.70585,0.0104,0,22793,22793,0,22793,22793,286,286,26748,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_006,29.16688427,29.16819,0.98131,0.96381,0.98118,28.11132,0.06188,0.96252,0.02664,0.00084317,2372,2374,0.00084317,2374,2372,169,169,384303,44306,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_026,29.34834258,29.34966,0.31818,0.2875,0.31568,28.93007,0.08893,0.28683,0.0128,0,88,88,0,88,88,110,110,32844,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_041,30.05376431,30.05511,0.85916,0.83087,0.85905,29.07127,0.1154,0.82836,0.02267,0.002949016,17633,17685,0.002949016,17685,17633,233,233,36340,7366,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_021,31.51612023,31.51753,1.65975,1.62464,1.654,29.76315,0.08204,1.62328,0.04054,0,22793,22793,0,22793,22793,166,166,361208,19840,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_001,32.68642042,32.68789,0.63643,0.60819,0.63633,31.95285,0.08573,0.60572,0.0299,0.002283105,438,439,0.002283105,439,438,151,151,29818,9992,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_016,32.75065392,32.75212,2.5155,2.48676,2.51537,30.12549,0.09918,2.48514,0.04724,0.000512057,21482,21493,0.000512057,21493,21482,238,238,398064,25897,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_001,33.34778661,33.34928,0.9884,0.97134,0.98828,32.28079,0.06669,0.97003,0.0261,0.002283105,438,439,0.002283105,439,438,162,162,400188,93836,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_011,33.87224553,33.87377,0.31271,0.28442,0.31264,33.54682,0.00177,0.28398,0.00155,0.000348736,5735,5737,0.000348736,5737,5735,154,154,20896,3634,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_076,0.157317642,0.15732,0.0503,0.02075,0.04757,0.00112,0.09782,0.02067,0.01764,0,0,0,0,0,0,1,1,34098,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_076,0.147325248,0.14733,0.04435,0.01516,0.04174,0.00111,0.09372,0.01508,0.01372,0,0,0,0,0,0,1,1,34098,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_011,34.30112273,34.30266,0.71523,0.69736,0.71509,33.51212,0.06313,0.69492,0.02304,0.000348736,5735,5737,0.000348736,5737,5735,234,234,31252,3745,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_076,0.041744281,0.04174,0.03042,0.00243,0.02954,0.00115,0.00161,0.00231,0.00194,0,0,0,0,0,0,1,1,20824,0,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_076,0.141568162,0.14157,0.06106,0.03958,0.05677,0.00116,0.07056,0.03852,0.0322,0,0,0,0,0,0,1,1,388970,21394,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_006,34.94240731,34.94398,0.83109,0.80411,0.83098,34.01812,0.08129,0.80166,0.02393,0.00084317,2372,2374,0.00084317,2374,2372,197,197,30490,5146,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,4,wt040_006,36.20667407,36.2083,0.38239,0.36561,0.38228,35.755,0.05811,0.36393,0.0155,0.00084317,2372,2374,0.00084317,2374,2372,182,182,30490,4802,0,0,0,0,0,110,0,0,0,0,26/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
