n,m,Inst,first_rel_error_AFBC,first_size_graph_AFBC,gap_AFBC,global_lower_bound_AFBC,global_lowerbound_root_AFBC,global_upper_bound_AFBC,global_upper_bound_root_AFBC,nb_generated_col_AFBC,nb_generated_col_root_AFBC,nb_nodes_explored_AFBC,opt_AFBC,reduction_AFBC,rel_error_AFBC,size_after_reduced_cost_AFBC,tot_bb_AFBC,tot_cputime_AFBC,tot_lb_AFBC,tot_lb_root_AFBC
40,2,1,0.0376712328122067,50934.0,0.0,606.0,584.0,606.0,606.0,484.0,201.0,2.0,1.0,0.4446931322801136,0.0,28284.0,6.284206000000001,24.685074,4.5142440000000015,0.9277510000000008
40,2,6,0.0028387096766867,54678.0,0.0,3886.0,3875.0,3886.0,3886.0,345.0,220.0,2.0,1.0,0.7272760525123948,0.0,14912.0,5.465347999999999,28.08035,2.4445420000000126,1.0331069999999976
40,2,11,0.0026063386152412,53120.0,0.0,9617.0,9592.0,9617.0,9617.0,303.0,237.0,1.0,1.0,0.8010165662499809,0.0,10570.0,2.917981000000001,18.83753,1.6188719999999996,0.9375739999999996
40,2,16,0.0020639026046434,57228.0,0.0,38356.0,38277.0,38356.0,38356.0,4293.0,336.0,10.0,1.0,0.8200705947993977,0.0,10297.0,99.064527,116.490755,38.242525000000015,1.5227770000000014
40,2,21,0.0,40900.0,0.0,41048.0,41048.0,41048.0,41048.0,477.0,477.0,0.0,1.0,0.9999999999755501,0.0,0.0,1.7528970000000008,22.641433,1.7444500000000005,1.7444539999999975
40,2,26,0.0,59514.0,0.0,87.0,87.0,87.0,87.0,151.0,151.0,0.0,1.0,0.9999999999831972,0.0,0.0,0.7066220000000012,16.247621000000002,0.6997659999999986,0.6997700000000009
40,2,31,0.0143693453926638,68310.0,0.0,3812.0,3758.0,3812.0,3812.0,976.0,225.0,3.0,1.0,0.7028399941340531,0.0,20299.0,19.658834,45.219221,14.380685000000014,1.4989220000000003
40,2,36,0.0049718574104153,63192.0,0.0,10713.0,10660.0,10713.0,10713.0,7232.0,329.0,29.0,1.0,0.8416096974167362,0.0,10009.0,91.574408,126.048438,45.21527600000019,2.024200999999998
40,2,41,0.0001298785635388,61714.0,0.0,30802.0,30798.0,30802.0,30802.0,429.0,413.0,1.0,1.0,0.950027546408432,0.0,3084.0,6.026754999999998,35.801141,3.0782979999999824,2.5808380000000035
40,2,46,0.0,34756.0,0.0,34146.0,34146.0,34146.0,34146.0,565.0,565.0,0.0,1.0,0.999999999971228,0.0,0.0,2.137915,24.585602,2.131557000000001,2.1315600000000003
40,2,51,0.0,69618.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.999999999985636,0.0,0.0,0.063083,0.242956,0.0561849999999999,0.0561889999999999
40,2,56,0.0055031446497616,62972.0,0.0,1279.0,1272.0,1279.0,1279.0,307.0,211.0,1.0,1.0,0.5639966969357175,0.0,27456.0,2.795352999999998,25.169598,2.2319549999999992,1.0097689999999986
40,2,61,0.0164572641995702,69558.0,0.0,11488.0,11302.0,11488.0,11488.0,8546.0,338.0,18.0,1.0,0.7197446734995293,0.0,19494.0,157.781897,191.826439,75.43682300000027,1.8401229999999984
40,2,66,0.0042413891259823,68952.0,0.0,35279.0,35130.0,35279.0,35279.0,13731.0,364.0,35.0,1.0,0.7687666782577914,0.0,15944.0,328.01660100000004,358.415265,128.28753100000026,3.1241939999999992
