 450
   52 17197     1
    6 19545     8
   90 18718     8
   64 16232     3
   26 19134     7
   14 16371     4
    5 19921     3
    6 17892     1
   79 15781     9
   80 19086     3
   55 15627     3
   92 18346     9
   94 19488    10
   42 17482     7
   86 18420     7
   17 16063     8
   86 18941    10
   79 16904     7
   10 18400     3
   29 17912    10
   60 16868     2
   21 18878     2
   30 16431     8
   41 17187    10
   31 16908    10
   92 16204     2
   43 16375     1
    8 15730    10
    5 19866     7
   33 16906     5
    3 18399     2
   56 17021     8
   38 16409     3
   92 17076     9
   20 17667    10
   64 19957    10
    6 17861     3
   25 17546     2
   69 17807     1
   84 18055     1
    4 16591     4
   24 17848     3
   76 16359     9
   97 16038     4
   66 19744     9
   62 19193     6
   14 16514     1
   51 18644     9
   40 16056     2
   24 19327     4
   80 16514     8
   99 17337     4
   44 18164     6
    9 17358     5
   40 18937     3
   74 19486     6
  100 17976     6
   82 19726     4
   82 19629     5
    5 17800     3
   14 16590     8
   85 17987     7
   61 19235    10
   52 17412     1
   77 19476     6
   80 16860    10
   15 17327    10
   82 17296     8
    4 18820     2
   84 19548    10
   66 19764     9
    7 19824     5
    8 17354     3
   41 16082     7
    4 15820     8
   73 17056     2
    2 19688     2
   18 16748     9
   24 15658    10
   41 15703     4
   41 16033     2
    3 16586     7
   40 17453     7
   85 18611     8
   12 18358     2
   79 16348    10
   59 18055     3
   12 16292     8
   60 16032     3
   40 17643     7
   16 18506     1
   74 17036     1
   25 15589     4
   76 17699     1
   26 18861     1
    2 19479     9
   55 18973    10
   41 16147     1
   83 16733     6
   59 17751     1
   24 15653     1
   49 16456     4
   66 17533     6
   32 17420     3
   89 16951     1
   70 17767     4
    4 18890     4
   91 16598     3
   87 18928     2
   27 18962     4
   32 16714     6
   27 19375     4
   30 19962    10
   71 18580     2
   11 17944     1
   41 18278     2
   50 19342     2
   69 15958     4
   52 18983    10
   10 19788     4
    9 18015    10
   67 17447    10
   83 16782     4
   33 18017     3
   43 19560     1
    8 15601     5
   34 17454     2
   97 18491     1
   48 16161     5
   17 18601     7
   56 16200     1
   72 16228     5
   65 19470     1
   21 18147     7
    3 18062     8
   54 16379     1
   90 15873    10
    7 16911     2
   45 17390     3
   76 19214     2
   33 15831     5
   76 18517     9
    2 18548     6
   62 15752     5
   47 17056    10
   13 16451     7
    3 18443     6
   96 16356     1
   81 16822    10
   55 17384     6
    5 16103     5
   89 19250    10
   22 19245     6
   88 17298     9
   22 17226     3
   64 18763     6
   95 17313     3
   56 19093     4
   61 17213     6
   43 17888     8
   73 17653     1
   16 17826     7
   15 18529     3
   37 17081     1
   36 15932     4
   18 16549    10
   91 17873     2
   25 16218     3
   24 17873     1
   35 19677     5
    1 19846     5
   57 18118     5
   10 18153     3
    2 18352     1
   18 18283     9
   57 19623     3
   14 19216     7
   21 16685     5
   52 15937     4
   95 15997     7
   75 18482    10
   56 16454     8
   84 19661     6
   96 17686     6
   43 18165     6
    5 16845     8
   59 16408     1
   38 19891     9
   61 15897     2
   20 18034     7
   81 17738     6
   33 17963     2
   35 15819     3
   96 16225     8
   70 19457     2
   70 16165     7
   13 17188     8
   60 17289     4
   95 16796    10
   37 19475     8
   95 16924     8
   95 16600     4
   93 17552     3
