 450
   10 17714     5
   36 18715     4
   19 16807     9
   82 19036     3
   52 18687     7
   33 17899     5
  100 17076     9
   53 19837    10
   11 19037     7
   76 18263     9
   40 17289     9
   42 19261     1
    7 18825     9
   29 17874     3
   20 18548     4
   37 18152     2
   89 16571     5
   36 17883     8
   64 18400     8
   90 16347     7
   88 15547     5
   90 19635     2
   58 16585     8
   48 15603     3
   13 17280     8
   82 17294    10
   10 18766     1
   97 16965     6
   41 19529     1
   80 17287     9
   46 16318     3
   51 17341     5
   16 16101     3
   64 17646     2
   32 16476     8
   68 19309     9
   96 15644     7
   32 18073     7
   20 19245     9
    6 19202     3
    7 16434     5
   60 16632     7
   48 18562     3
   14 19781     3
   88 19027     9
   67 17208     7
   51 18031     5
   76 15697     4
    3 19613     4
   14 16530     2
   66 16565     1
   90 19682     9
    4 16263     4
   23 17672     9
   38 19806     2
   17 18065     2
    5 19487     8
   48 18670     2
   13 19551     7
   45 19115     8
   28 16056     1
   59 15968    10
   95 16554     3
   44 16679     3
   22 18136     2
   27 17552    10
   11 16087     2
   18 18301     8
   58 15723     6
   30 19853     1
   23 17602     1
   65 16679     1
   90 16584     7
   71 16263     3
   79 16559     4
   77 15710     6
   37 17993    10
   29 19112     8
   53 15928    10
   40 17704     4
   43 15740    10
   18 17015     1
   30 17484     2
   47 16525     4
   41 19208     9
   67 17389     4
   63 19111     5
   45 18794     7
   15 16158     6
   76 18760     1
   89 18007     5
   43 16736     6
   34 19249     1
   84 19083     7
   86 17936     9
   56 17484     2
   11 16733     7
   96 18544     1
   73 15883     9
   69 16978     2
   26 18496     1
   96 18007     9
   33 18178     3
   15 19601     8
   66 18792     2
   11 19258     6
   92 19832     3
    3 16883     2
   40 18468     4
   44 15859     3
   42 19108     5
   82 18729     3
   62 17395     3
   71 16691     7
   28 19775     6
    2 16701     1
   38 18601     1
   90 18984    10
   46 15594     8
   53 19281     6
   65 17843     1
   35 18122     3
   95 16115     2
   99 17191     2
   19 17303    10
   80 18572    10
   54 19196     3
   29 18558     6
   75 17215     1
   27 19600     2
   97 15634     8
    1 15809     1
   23 17706     1
   29 18333    10
   15 15508     8
   88 16596     2
   40 17690     6
    7 19862     1
   90 18000     3
   79 16257     9
   51 15819     3
   32 17207     8
   60 19508     1
   12 17735     5
    3 18419     5
   88 19382     7
   14 18958     6
   40 17119     5
   78 18465     7
   59 19073     4
   92 16498    10
   42 16406     8
   94 17293     6
   86 17135     1
   41 18118     9
   12 19118     5
   66 15805     1
   95 17412     1
