 450
   68 13814     3
   49 11763     6
   94 14400     7
   86 13828     7
   71 13977     8
   31 11733    10
   58 10795     3
   87 11595     9
   30 14382     7
   43 11771     8
   31 13126     6
   68 13806    10
   18 14166     1
   24 13496     3
    3 14559     8
   88 11220     2
   49 13787     1
   35 11786     9
   71 12725     3
   74 11500     9
   84 13122     6
    6 14728     8
   92 14962     2
   72 12209     8
    3 13091     6
   73 10969     2
   38 13109     4
   15 13693    10
   25 10943    10
   58 11600     3
   70 13007     1
   92 13983     3
    6 12589     8
   63 12321     7
   77 12726     9
   76 11481     6
   94 13280     6
   35 12746     2
   62 12301     4
   23 12576     3
   77 13742    10
   93 14653     9
   90 11297     2
   95 12822    10
   16 13064     2
   92 15082     9
   82 13268     2
   65 11766     2
   27 11782     8
   53 10907     4
   39 12491     1
   11 14130     4
   58 14860     2
   30 12367     3
   82 11254     2
   61 12866     7
    2 12562     5
   19 13588     5
   76 11474     7
   26 12731     4
   77 14414     8
   45 13706     7
   17 11628     6
   82 11917     5
    8 10941     4
   94 13579     5
   58 12623    10
    1 13447     9
   28 11239     6
   20 14150     4
   23 10938     2
    5 14207     6
   12 13718     3
   13 11460     3
   99 11944     5
   28 11697     4
    5 11456     2
   81 14437     6
   93 12688     6
   32 12463    10
   34 14569    10
   32 14404     6
   42 11508     4
   92 14344     1
   61 11686     9
   24 11987     5
   52 12124     7
   63 13473     3
   43 14800     9
   27 12823     4
   89 11118     7
   19 14129     6
   72 11444    10
    6 11972     2
    1 10961     1
   79 11611     3
   99 14777     7
   59 12809    10
   80 14283     2
   27 10931     3
   78 11874     4
    3 14446     3
   32 14363     8
   90 14817     6
   15 10821     6
   30 11221     3
   18 11429     9
   20 11503     8
   11 14884     8
   11 13342     5
   51 13191     7
   45 14367     7
   42 12661     1
   93 13924    10
   36 13625     8
    3 13572     9
   16 10826     5
   87 14975     5
   66 11959     2
   59 14852     3
   14 12713     8
   54 12303     8
   77 13895     9
   86 13382     7
   59 13500    10
   78 14081     9
   64 14219    10
   58 13192     6
   36 11805     9
   44 13416     1
   85 13348     8
   14 12904     2
   46 12777     4
   16 12626     6
    4 12636     7
   61 12823     9
   46 13072     8
   22 13291     6
   80 13551     7
   57 12870     6
   32 11547    10
   31 11657     3
    1 12152     2
   74 13434     1
   23 14807     3
   36 15003    10
   77 11920     9
   39 14858     7
   23 14893     4
   42 13105     1
   97 14624    10
   36 12520     1
   95 14633     8
   74 13434     9
   21 10817     7
   54 13048     7
   51 12430     8
   85 14261     6
   11 11155     3
   87 13460     6
   29 12592     7
   96 13728    10
  100 11279     8
   74 14594    10
   11 11268     5
    4 13141     4
   34 12332     9
   56 13566     3
   25 11346    10
   14 10798     5
   13 11351     8
   57 12119    10
   44 11681     8
   13 12728    10
   30 14778    10
   66 11402     1
   48 12646     9
    7 11613     9
    5 11175     8
   71 12453     2
   48 13943     9
    1 15025     7
    7 14198     2
   43 13491     7
   75 13374     6
   27 14241     9
   96 11454     3
   26 15029     3
   12 13416     5
    7 11834     6
   12 13403     9
   40 10923     2
    2 14787     5
   12 13908     6
   14 14742     1
   13 10970    10
   15 11963    10
   47 11989    10
   69 13761     3
   39 12535    10
   61 12012     4
   81 14338    10
   95 13879     9
    4 12918     1
   93 11981     9
   25 13571     9
   70 13546     1
   41 13852     8
   31 14410     8
   74 13946     9
   11 11219     9
   79 13267     6
   75 13886     6
   17 14643     1
   21 11673     2
   50 12174     1
   44 13798    10
   17 12352     5
   75 12118     4
   56 12129     5
   24 13412    10
   87 14747     2
   96 12277     6
   25 13114     5
   98 13569     8
    9 11934     7
   37 13309     5
   12 14757     7
   56 13148     6
    5 11985     7
   51 12206     7
   16 14385     9
   86 11237     7
