 450
   89 20918     7
   92 19351     2
   20 19218    10
   42 16635     8
   69 18621     9
   93 19410     6
   80 14637     4
   50 22171     6
   13 15921     9
   18 18027     1
   95 15683     1
   23 15863     3
   57 14535     3
   54 15706     7
   15 15426     3
   17 22390     5
   79 14532     6
   68 15247     7
   10 18034     4
   70 21696     9
   24 20551     1
   92 14767     1
   58 20623     9
   33 16234     7
   27 18154     3
   21 15392     9
   65 19522     2
   44 17570     6
   36 19170     4
   86 19167     6
   53 19952     4
   25 17350    10
   78 15781     7
   72 16433     4
   66 20344     8
   47 20761     6
   64 22201    10
   45 21340     2
   96 20194     1
   77 15385     9
   63 16629     2
   90 22235     2
   99 17607     1
   20 17523     5
   44 15203     9
   14 19391     3
   36 17176     9
   22 16093     4
   82 20997     9
   46 21568     3
   92 15052     2
    5 18811    10
   37 22693     3
   50 22033     1
   37 21403     6
   63 18109     6
   70 14688     9
    1 18187     8
    7 22037     1
    5 20216     2
   87 14617     3
   59 19252     5
   30 14829     2
   65 16756    10
   31 22044     8
   95 21531     9
   11 14779     5
   95 21507     7
   40 20134    10
    7 21332     6
   71 14155     5
    3 14025     2
   97 20829     8
   70 18120     6
   22 17906     7
   40 22391     6
   83 14774     8
   58 21440     6
   62 15747     9
   65 22129     7
    3 20271     8
   53 17158     1
   69 18202     6
   39 20226     1
    2 16454     1
    6 16868     1
    2 15597     6
   72 17500    10
    6 21414     9
    9 14897     7
   76 14979     1
   93 22389     2
   68 20508     1
    5 16166     3
   58 16408     1
   99 19814     8
  100 14960     2
   68 17546     6
   93 18584     5
   40 21452     2
   75 16140     1
   64 19097    10
   42 21836     3
   71 14232     8
   33 14479     5
   64 17005     9
   10 13886     3
   16 15611     3
   21 15708     4
   71 15991     2
   80 15003     9
   23 22337     2
   24 19508     2
   49 19564     4
   62 19825     2
   26 22320     3
   54 13694     5
   64 21781     8
   97 17082     2
   60 21466     3
   73 13940     4
   73 18419     3
   52 21118     4
   40 20806     4
   78 20944     5
   10 14789     5
   38 17883     2
   77 22262     6
   77 18693    10
   31 13729     6
   16 20976     7
   52 21192    10
   94 19184     6
   58 20074    10
   22 21783     8
   27 20022     1
   21 14341     9
   31 22027    10
   43 21992     3
   41 16407     3
    2 15280     2
   23 14258     1
   64 16006     5
   26 21146     4
   71 20180     4
   25 22190     6
   51 20729     6
   25 20232     9
   89 21233     3
   47 15073     8
   84 18961     1
   61 21532     7
   20 19851     1
   36 17342     4
    1 19601     1
   97 18058     6
   45 18489     8
   39 14746     2
   73 17582     2
   22 14445     8
   69 14834     8
   89 15821     9
   73 21996     7
   63 20377     3
   47 22254     9
   94 21041     4
   90 17661     4
   67 13857     7
   25 20330     4
   32 16916     6
    8 16623    10
   27 21969     5
   55 17532     6
   71 18988     4
   53 20378     9
   26 14974    10
   96 18441    10
    3 18369     5
   50 21565     8
   84 16936     3
   50 19801     3
   33 17789     9
   45 15731     9
   69 16915     3
   69 21489     3
   45 21690     9
   65 21331     9
   13 17241     1
   83 13699    10
   38 16176     1
   35 18045     8
   52 14891     8
   27 18355     9
    7 17303     4
   14 21626     1
