NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_001,0.508664,0.486673,0.120407,0.120454,0.359413,0.000000,0.041960,0.037671,584,606,0.037671,154,24/10/2019,4,1,0.800000,9,40,2,41575,29322,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.679340,0.663320,0.042319,0.042370,0.604624,0.000000,0.010814,0.002283,438,439,0.002283,44,24/10/2019,4,1,0.800000,9,40,4,21855,11057,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.014320,0.962088,0.314634,0.314814,0.549226,0.092058,0.196443,0.002283,438,439,0.002283,37,24/10/2019,4,1,0.800000,7,40,4,35676,14828,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.089407,1.033217,0.396453,0.396453,0.542528,0.092636,0.260641,0.002283,438,439,0.002283,38,24/10/2019,4,1,0.800000,8,40,4,35676,15832,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.026410,0.969446,0.351432,0.351571,0.612258,0.000000,0.104310,0.002839,3875,3886,0.002839,239,24/10/2019,4,1,0.800000,9,40,2,39451,15444,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.360714,1.323678,0.381125,0.381280,0.819833,0.111406,0.255931,0.002283,438,439,0.002283,37,24/10/2019,4,1,0.800000,5,40,4,35676,14828,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.396065,0.902707,0.174148,0.262542,0.576764,0.055580,0.025002,0.002283,438,439,0.002283,37,24/10/2019,4,1,0.800000,3,40,4,35676,15868,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.455085,0.991215,0.229741,0.364903,0.558563,0.064263,0.087105,0.002283,438,439,0.002283,38,24/10/2019,4,1,0.800000,2,40,4,35676,15682,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.636725,1.107725,0.233185,0.360388,0.676772,0.067330,0.049201,0.002283,438,439,0.002283,37,24/10/2019,4,1,0.800000,1,40,4,35676,15462,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,0.953938,0.906959,0.326429,0.326503,0.535357,0.038849,0.202886,0.000843,2372,2374,0.000843,79,24/10/2019,4,1,0.800000,7,40,4,34010,7036,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.680486,1.607249,0.708082,0.708250,0.807531,0.086628,0.571585,0.002283,438,439,0.002283,38,24/10/2019,4,1,0.800000,6,40,4,35676,15832,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.850940,1.159183,0.569781,0.737898,0.305970,0.109467,0.147110,0.037671,584,606,0.037671,163,24/10/2019,4,1,0.800000,3,40,2,66776,35934,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,0.652301,0.620997,0.061492,0.061564,0.553687,0.000000,0.013296,0.000843,2372,2374,0.000843,73,24/10/2019,4,1,0.800000,9,40,4,20971,5866,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.831977,1.334656,0.347708,0.466084,0.781508,0.076664,0.122789,0.002283,438,439,0.002283,38,24/10/2019,4,1,0.800000,4,40,4,35676,15682,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.786608,1.334677,0.755648,0.856337,0.382740,0.093773,0.274224,0.002839,3875,3886,0.002839,245,24/10/2019,4,1,0.800000,3,40,2,63164,20010,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.817823,1.725220,0.784562,0.784766,0.822069,0.000000,0.691864,0.002283,438,439,0.002283,39,24/10/2019,4,1,0.800000,10,40,4,408398,94246,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.943087,1.870801,1.445850,1.446049,0.283510,0.139300,1.159355,0.037671,584,606,0.037671,168,24/10/2019,4,1,0.800000,8,40,2,66776,36318,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
