n,m,NameInstance,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,total_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,scoring_value,use_cpu_time
40,2,wt040_001,13.38271801,13.3833,1.68498,1.66815,1.68486,11.55468,0.13782,1.66589,0.08087,0.037671233,584,606,0.037671233,606,584,176,176,804941,252122,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_001,13.1317663,13.13235,1.15114,1.13375,1.15102,11.85683,0.11847,1.12922,0.11017,0.037671233,584,606,0.037671233,606,584,219,219,50934,28257,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_001,12.44103982,12.44159,0.75029,0.73287,0.75017,11.56551,0.11984,0.72862,0.1365,0.037671233,584,606,0.037671233,606,584,196,196,50934,28247,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_001,11.88883644,11.88935,0.29034,0.26301,0.29024,11.59012,0.00314,0.26254,0.00577,0.037671233,584,606,0.037671233,606,584,156,156,41175,29253,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_006,17.21347284,17.21422,2.0057,1.98884,2.00559,15.07533,0.12672,1.98656,0.10104,0.00283871,3875,3886,0.00283871,3886,3875,248,248,763605,129070,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_006,16.71404187,16.71478,1.24848,1.23081,1.24836,15.33713,0.12309,1.22735,0.15459,0.00283871,3875,3886,0.00283871,3886,3875,244,244,54678,14191,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_006,16.20307539,16.20379,0.92053,0.90317,0.92042,15.15165,0.12558,0.89987,0.15094,0.00283871,3875,3886,0.00283871,3886,3875,254,254,54678,14242,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,BddBackwardCycle,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_006,18.95571558,18.95654,0.31204,0.29473,0.31197,18.63275,0.00242,0.29426,0.00466,0.00283871,3875,3886,0.00283871,3886,3875,249,249,39051,15882,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,TimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_011,17.55862587,17.55939,1.83,1.81257,1.82987,15.59168,0.13,1.8103,0.10221,0.002606339,9592,9617,0.002606339,9617,9592,253,253,776983,91369,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,ArcTimeIndexed,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
40,2,wt040_011,17.29057074,17.29134,1.52347,1.50546,1.52335,15.63239,0.12951,1.50111,0.22355,0.002606339,9592,9617,0.002606339,9617,9592,271,271,53120,10920,0,0,0,0,0,110,0,0,0,0,25/08/2022,10000,WentgnesStab,0.8,BddBackward,14,0.7,FALSE,FALSE,FALSE,WeightedProduct,0,FALSE
