n,m,NameInstance,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,total_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,first_size_graph,size_after_reduced_cost,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,strong_branching,branching_point,refinement,pruning_test,suboptimal_duals,scoring_parameter,scoring_value,use_cpu_time,use_bks,ijoc_review
100,2,wt100_001,259.4059404,259.40594,257.30433,141.00006,23.17183,0.03376,2.02473,138.16216,39.17801,0,3339,3339,0.007543754,3339,3314,3116,570,328070,192371,5,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_001,312.9588915,310.178852,223.113543,149.668235,16.569928,86.032179,1.004247,148.006894,88.573504,0,3339,3339,0.007543754,3339,3314,2999,549,5,328070,192322,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_001,7205.848794,7205.84879,7204.51629,1316.59852,14.07071,0.07127,1.22871,1207.99316,195.60981,0.000299491,3339,3340,0.007845504,3340,3314,63405,569,328070,192458,1518,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_006,1432.518904,1418.840199,1222.723418,576.885956,30.169245,194.724159,1.356828,571.788387,323.165682,0,30665,30665,0.000685289,30665,30644,9784,840,13,365770,132429,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_006,7236.229219,7236.22922,7234.03947,1041.35139,34.7143,0.07613,2.07719,1014.57445,87.1915,0.000652635,30645,30665,0.000685289,30665,30644,52533,722,365770,132540,179,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_006,7448.746964,7448.74696,7447.41213,599.2497,20.67646,0.05312,1.2424,576.96106,75.07045,0.00081582,30644,30669,0.00081582,30669,30644,38090,733,365770,133822,222,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_011,2298.515686,2298.51569,2297.09598,444.20972,30.53497,0.07067,1.33246,436.8511,0.87033,0,93894,93894,5.33E-05,93897,93892,32463,1057,332022,53486,101,1/07/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,false,no_heuristic
100,2,wt100_011,252.9183555,251.824849,24.879153,24.853413,24.853415,225.896687,1.007987,24.847784,4.682019,0,93894,93894,0,93894,93894,1134,1134,0,332022,0,21/07/2012,10000,WentgnesStab,0.8,BddBackwardCycle,8,0.5,false,false,false,,,,,heuristic
100,2,wt100_011,51.2955453,51.29554,49.48667,49.3932,49.4138,0.13704,1.63244,49.32031,0.86054,0,93894,93894,0,93894,93894,1059,1059,332022,0,0,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
100,2,wt100_016,1237.715323,1237.71532,1235.83485,647.8273,93.39903,0.10748,1.7495,646.02202,22.93803,0,209100,209100,0.000205686,209100,209057,24465,1480,350432,30119,16,30/06/2023,2,WentgnesStab,0.8,BddBackwardCycle,18,0.5,false,false,false,ProductScoring,LbScoring,false,true,bks
