NameInstance,n,m,tot_real_time,tot_cputime,tot_bb,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,tot_reduce_cost_fixing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,global_upper_bound_root,global_lowerbound_root,nb_generated_col,nb_generated_col_root,nb_nodes_explored,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,first_size_graph,size_after_reduced_cost,strong_branching,branching_point,refinement,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status
wt040_011,40,4,33.90240726101911,33.676356999999996,0.6738110000000006,0.620638999999997,0.5834379999999939,32.942177,0.057696999999997445,0.3163779999999434,0.180470000000021,0,5737,5737,0.000348735832545992,5737,5735,229,208,1,21/06/23,15000,1,0.8,4,15629,1970,20,0.5,false,0,0,0,0,0,110,0,0
wt040_001,40,4,38.989344891975634,38.772531,0.47679000000000116,0.42284500000000236,0.26728699999999606,38.250885999999994,0.042163999999999646,0.26065299999995517,0.15126399999999052,0,439,439,0.002283105017618482,439,438,218,152,1,21/06/23,15000,1,0.8,4,14910,5162,20,0.5,false,0,0,0,0,0,110,0,0
wt040_006,40,4,52.95515724399593,52.641073,1.615743000000002,1.3222290000000072,0.4874500000000026,50.972649999999994,0.05081200000000052,0.8879410000000476,0.7027679999999918,0,2374,2374,0.0008431703200492537,2374,2372,336,197,2,21/06/23,15000,1,0.8,4,15247,2524,20,0.5,false,0,0,0,0,0,110,0,0
wt040_021,40,4,22.705929730960634,22.646678,0.9010290000000012,0.8920980000000007,0.8921010000000003,21.699840000000002,0.04314899999999966,0.38641100000000606,0.265516999999992,0,22793,22793,0,22793,22793,299,299,0,21/06/23,15000,1,0.8,4,13379,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_016,40,4,47.363594449998345,47.096759999999996,10.113190000000003,6.984503000000011,0.8663760000000025,36.933184000000004,0.047851999999998895,3.990077000000184,3.2828939999998568,0,21493,21493,0.00041891640288498804,21493,21484,2681,278,28,21/06/23,15000,1,0.8,4,17032,1442,20,0.5,false,0,0,0,0,0,110,0,0
wt040_026,40,4,31.307357774989214,31.082179999999997,0.19706599999999952,0.19309499999999957,0.19309700000000163,30.836049,0.046281999999997936,0.11857799999998875,0.03766999999999854,0,88,88,0,88,88,122,122,0,21/06/23,15000,1,0.8,4,16423,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_031,40,4,59.02771525998833,58.753455,4.057349000000002,3.49228200000001,0.6289820000000006,54.631395,0.06467400000000367,2.5641330000000053,2.175700000000049,0,2525,2525,0.01161858973893486,2525,2496,553,193,1,21/06/23,15000,1,0.8,4,18383,4388,20,0.5,false,0,0,0,0,0,110,0,0
wt040_041,40,4,41.65749464801047,41.388302,10.425181000000002,8.48172599999997,0.5268739999999994,30.901555,0.06038599999999761,6.154681000000135,5.340368000000023,0,17685,17685,0.0029490160492854863,17685,17633,2024,199,5,21/06/23,15000,1,0.8,4,18174,3890,20,0.5,false,0,0,0,0,0,110,0,0
wt040_051,40,4,0.09351770498324186,0.078252,0.016541,0.013321,0.013323000000000002,0.015963,0.043102,0.012843999999999994,0.009144,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,18529,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_046,40,4,34.85053631302435,34.667136,0.9909859999999995,0.9844429999999988,0.9844459999999984,33.620846,0.055274000000004264,0.38786699999995733,0.23189700000001068,0,19124,19124,0,19124,19124,359,359,0,21/06/23,15000,1,0.8,4,13050,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_036,40,4,75.77125991298817,75.35828400000001,16.869113,12.970000000000034,0.7776449999999997,58.428637,0.05795899999999676,8.497678999999906,7.325920999999653,0,6420,6420,0.010228166796187542,6420,6355,3330,198,12,21/06/23,15000,1,0.8,4,18607,3903,20,0.5,false,0,0,0,0,0,110,0,0
wt040_056,40,4,46.443149739992805,46.193757,6.2047059999999945,5.100429000000005,0.33413699999999835,39.943337,0.043619999999997106,4.316561999999919,3.7950570000000496,0,826,826,0.03508771925427604,826,798,765,176,7,21/06/23,15000,1,0.8,4,17262,7755,20,0.5,false,0,0,0,0,0,110,0,0
wt040_071,40,4,25.22271730203647,25.159069000000002,0.8807359999999989,0.8770789999999984,0.8770820000000015,24.227399000000002,0.05090600000000123,0.46763499999998004,0.28042600000000206,0,26740,26740,0,26740,26740,414,414,0,21/06/23,15000,1,0.8,4,16927,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_076,40,4,0.08745702099986374,0.060592,0.01373,0.011011000000000007,0.011012999999999995,0.0006519999999999998,0.044704,0.010914999999999994,0.008089999999999993,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,17050,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_066,40,4,52.14235113898758,51.995644999999996,1.4671489999999991,1.3771489999999957,1.2712720000000033,50.459657,0.06880600000000214,0.5798340000001048,0.3789430000000138,0,20251,20251,0.00019756013235553118,20251,20247,379,305,2,21/06/23,15000,1,0.8,4,19270,721,20,0.5,false,0,0,0,0,0,110,0,0
wt040_061,40,4,74.3656844990328,74.102964,14.771488000000005,11.618261000000011,0.7838950000000011,59.278600000000004,0.05082000000000164,7.2635910000002895,6.050841999999953,0,7357,7357,0.005741626793473462,7357,7315,4500,243,16,21/06/23,15000,1,0.8,4,18932,2920,20,0.5,false,0,0,0,0,0,110,0,0
wt040_081,40,4,67.83106590202078,67.655557,6.085577000000001,4.553634999999964,0.6140299999999996,61.508185000000005,0.06175800000000464,2.71197700000009,2.2442890000001157,0,564,564,0.044444444362139915,564,540,1054,175,10,21/06/23,15000,1,0.8,4,18484,3170,20,0.5,false,0,0,0,0,0,110,0,0
wt040_091,40,4,38.377449097984936,38.273924,3.740540000000003,3.0274360000000016,0.8344930000000019,34.442907,0.08843699999999899,1.729453000000042,1.2887000000001123,0,15569,15569,0.0008999164362730657,15571,15557,1424,261,7,21/06/23,15000,1,0.8,4,19342,1341,20,0.5,false,0,0,0,0,0,110,0,0
wt040_101,40,4,0.0945831979624927,0.06432600000000001,0.012879000000000002,0.010068999999999995,0.010070999999999997,0.0005920000000000005,0.04906,0.009685,0.007610000000000006,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,19349,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_106,40,4,0.0847581080161035,0.073964,0.01759799999999999,0.014566999999999997,0.014568999999999999,0.0014079999999999995,0.053513000000000005,0.014453000000000008,0.010152000000000022,0,0,0,0,0,0,1,1,0,21/06/23,15000,1,0.8,4,21400,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_086,40,4,68.94753442698857,68.80519500000001,1.1736450000000076,1.0875269999999944,0.9589250000000078,67.563623,0.0652380000000079,0.46333500000018546,0.26230999999998517,0,4725,4725,0.001271455816640929,4725,4719,345,283,2,21/06/23,15000,1,0.8,4,18851,599,20,0.5,false,0,0,0,0,0,110,0,0
wt040_096,40,4,39.080767507024575,39.017401,1.114847999999995,1.107756000000002,1.107757999999997,37.822356,0.07759300000000025,0.5787969999999802,0.37190500000001236,0,36266,36266,0,36266,36266,297,297,0,21/06/23,15000,1,0.8,4,18399,0,20,0.5,false,0,0,0,0,0,110,0,0
wt040_111,40,4,50.175617676984984,50.041496,4.177028999999997,3.3748729999999867,0.6049819999999997,45.803892,0.05865999999999616,2.116825999999868,1.6972669999998686,0,11263,11263,0.004548697823354557,11263,11212,1301,232,8,21/06/23,15000,1,0.8,4,22102,3234,20,0.5,false,0,0,0,0,0,110,0,0
wt040_116,40,4,83.29834131099051,82.96919299999999,23.778694,17.429251000000136,1.0408320000000018,59.128712,0.05906500000000392,10.84771099999999,9.102381999999743,0,15566,15566,0.0017375635496661584,15566,15539,4326,273,20,21/06/23,15000,1,0.8,4,19551,2174,20,0.5,false,0,0,0,0,0,110,0,0
wt050_001,50,4,43.916503194952384,43.735555999999995,5.588839,4.676147,0.6670519999999982,38.070634,0.07374699999999734,4.043108999999973,3.4947490000000343,0,785,785,0.010296010282759317,785,777,465,196,4,21/06/23,15000,1,0.8,4,24669,12824,20,0.5,false,0,0,0,0,0,110,0,0
