n,m,Inst,first_size_graph_AFBC,first_size_graph_TI,first_size_graph_ATI,gap_AFBC,gap_TI,gap_ATI,global_lower_bound_AFBC,global_lower_bound_TI,global_lower_bound_ATI,global_upper_bound_AFBC,global_upper_bound_TI,global_upper_bound_ATI,nb_generated_col_AFBC,nb_generated_col_TI,nb_generated_col_ATI,opt_AFBC,opt_TI,opt_ATI,reduction_AFBC,reduction_TI,reduction_ATI,rel_error_AFBC,rel_error_TI,rel_error_ATI,tot_bb_AFBC,tot_bb_TI,tot_bb_ATI,tot_cputime_AFBC,tot_cputime_TI,tot_cputime_ATI,tot_lb_AFBC,tot_lb_TI,tot_lb_ATI
40,2,1,50934,41175,804941,0.037671232231656984,0.037671232231656984,0.037671232231656984,584,584,584,606,606,606,194,192,178,False,False,False,0.4446931322801136,0.2891074681168401,0.6866813841005903,0.0376712328122067,0.0376712328122067,0.0376712328122067,0.5575150000000022,0.1859140000000003,1.5094340000000024,17.575398,17.213764,18.964081,0.555339,0.1856200000000001,1.5079160000000016
40,2,6,54684,39051,763605,0.0028387096700936525,0.0028387096700936525,0.0028387096700936525,3875,3875,3875,3886,3886,3886,252,245,260,False,False,False,0.7271962548327263,0.6081278328184136,0.830680783912061,0.0028387096766867,0.0028387096766867,0.0028387096766867,0.7275569999999973,0.4194870000000001,1.971889000000001,23.150725,31.199819,25.362833,0.7254120000000022,0.4164409999999989,1.9698899999999997
40,2,11,53120,39736,776983,0.002606338612795727,0.002606338612795727,0.002606338612795727,9592,9592,9592,9617,9617,9617,216,348,243,False,False,False,0.7932793674549458,0.736687135073065,0.887857263285184,0.0026063386152412,0.0026063386152412,0.0026063386152412,0.6679460000000006,0.3839820000000031,2.638466000000001,22.989861,29.30725,37.03646,0.6652419999999992,0.3830670000000005,2.6352969999999942
40,2,16,57244,40684,795428,0.0020639026041581357,0.0022733805424041964,0.002037724018486409,38277,38269,38278,38356,38356,38356,355,351,331,False,False,False,0.8194919991471684,0.8174466620583658,0.9253898530087885,0.0020639026046434,0.0022733805429388,0.0020377240189655,1.9719229999999968,0.6150090000000006,3.577026999999994,41.6585,27.432566,37.489125,1.965834000000001,0.6113749999999989,3.5708040000000025
40,2,21,40900,36392,711775,0.0,4.8725819800047303e-05,0.0,41048,41046,41048,41048,41048,41048,540,470,422,True,False,True,0.9999999999755501,0.9770828753303725,0.9475297671301359,0.0,4.872581981073124e-05,0.0,1.8949539999999985,1.4404259999999989,1.8786829999999988,20.970292,18.980563,28.107894,1.889057000000001,1.4375729999999969,1.8680510000000008
40,2,26,59514,42129,823626,0.0,0.0609756023200485,0.0609756023200485,87,82,82,87,87,87,162,124,135,True,False,False,0.9999999999831972,0.25955992308719505,0.5933579075932603,0.0,0.0609756090124925,0.0609756090124925,0.7044130000000024,0.123095000000001,2.6475500000000025,18.487384,16.112788000000002,25.96245,0.6973620000000018,0.1208849999999976,2.6443489999999983
40,2,31,68314,45435,888093,0.01436934535825081,0.016262330001966595,0.01436934535825081,3758,3751,3758,3812,3812,3812,272,212,225,False,False,False,0.6762742629523045,0.5075382414326501,0.7862802656920094,0.0143693453926638,0.0162623300409857,0.0143693453926638,1.42633,0.3887539999999987,2.138816000000002,42.110217,27.708906,28.206747,1.4262020000000035,0.3844640000000012,2.1360579999999985
40,2,36,63192,40115,784353,0.00497185740621777,0.005160442854981758,0.0047833427079503445,10660,10658,10662,10713,10713,10713,330,387,342,False,False,False,0.8410558298385704,0.8193443848730065,0.9214307843522987,0.0049718574104153,0.0051604428593394,0.004783342711988,1.109659999999998,0.5902389999999968,2.731509000000002,35.946275,46.893306,37.084449000000006,1.106263999999996,0.5878709999999998,2.7281210000000016
40,2,41,61728,41102,803579,0.00012987856350091611,0.00012987856350091611,0.00012987856350091611,30798,30798,30798,30802,30802,30802,521,450,478,False,False,False,0.9740312337841169,0.9422412534440601,0.9456021125478072,0.0001298785635388,0.0001298785635388,0.0001298785635388,1.791565999999996,1.1738009999999974,3.0730210000000007,45.246282,38.807356,31.056012,1.788492000000005,1.1699979999999996,3.0701590000000003
40,2,46,34774,29777,582721,0.0,0.0,0.0,34146,34146,34146,34146,34146,34146,525,486,503,True,True,True,0.9999999999712429,0.999999999966417,0.947559809924565,0.0,0.0,0.0,1.9897890000000016,1.1232919999999993,2.726353000000003,28.865853,20.762629,23.192812,1.98489,1.119008000000001,2.7193460000000016
40,2,51,69618,48853,954703,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.999999999985636,0.9999999999795304,0.9474852388638692,0.0,0.0,0.0,0.027842,0.008801,0.1042289999999999,0.13496,0.02252,0.215825,0.0236939999999999,0.005176,0.0965719999999999
40,2,56,62972,38784,758378,0.005503144610824335,0.005503144610824335,0.005503144610824335,1272,1272,1272,1279,1279,1279,210,183,191,False,False,False,0.5639808168620343,0.47602103959168673,0.6850093225269127,0.0055031446497616,0.0055031446497616,0.0055031446497616,0.7028160000000021,0.3026049999999998,2.007852,23.809571,34.997258,24.667716,0.7005589999999984,0.2989389999999972,2.005256000000003
40,2,61,69566,39279,768051,0.016457264186464995,0.017717930530016007,0.016097647252699764,11302,11288,11306,11488,11488,11488,350,347,302,False,False,False,0.7189862863939427,0.6823493469619301,0.8928782073053835,0.0164572641995702,0.0177179305441426,0.016097647265514,2.2489989999999977,1.3981580000000022,2.2371219999999994,40.061665,56.670542000000005,37.294755,2.240870000000001,1.390971999999998,2.2329069999999973
40,2,66,68952,41141,804360,0.004241389124895704,0.005013816481493371,0.004241389124895704,35130,35103,35130,35279,35279,35279,391,363,350,False,False,False,0.7712321614924698,0.7306093677662038,0.9070279476839884,0.0042413891259823,0.0050138164827788,0.0042413891259823,2.043603999999995,1.1187629999999942,2.1836210000000023,37.636666,37.0194,47.010523,2.0391519999999943,1.1127680000000026,2.183492000000001
40,2,71,50146,35743,699058,0.00035464691762706853,0.00041725778177057957,0.00035464691762706853,47935,47932,47935,47952,47952,47952,451,476,435,False,False,False,0.9121764447630484,0.9022186162073071,0.9402410100436012,0.0003546469176936,0.0004172577818489,0.0003546469176936,1.9487489999999996,1.6668179999999992,3.100004000000005,41.789172,37.793783,37.607613,1.9445750000000004,1.660105999999999,3.094420999999997
40,2,76,62410,39584,774019,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999839769,0.9999999999747372,0.9475167922222225,0.0,0.0,0.0,0.0336329999999999,0.006728,0.1288599999999999,0.176057,0.014371,0.266077,0.026892,0.0041169999999999,0.1144969999999999
40,2,81,66352,37339,730180,0.27272726668010494,0.26607538212693166,0.26607538212693166,451,451,451,574,571,571,295,240,245,False,False,False,0.632309500834454,0.5853129435553894,0.8108439015026283,0.2727272721225559,0.2660753874366399,0.2660753874366399,1.787669000000001,0.4631550000000004,3.203362999999996,38.911959,33.801157,50.631869,1.7799090000000035,0.4584230000000033,3.194991999999999
40,2,86,71934,38818,758959,0.008672448284402189,0.011202140091619897,0.008672448284402189,5996,5981,5996,6048,6048,6048,430,391,391,False,False,False,0.8883976978773822,0.8549899530925089,0.9328540803904652,0.0086724482974195,0.0112021401084764,0.0086724482974195,2.385125000000002,1.2283389999999983,2.862020000000001,43.081693,51.581451,48.933845,2.3795240000000035,1.2235390000000024,2.858995
40,2,91,71316,41138,804240,0.0,0.000921269816543983,0.0,26075,26051,26075,26075,26075,26075,572,401,484,True,False,True,0.999999999985978,0.9328601292981462,0.9475057196844878,0.0,0.0009212698168622,0.0,2.727853000000003,0.8861039999999996,3.5564310000000035,52.327933,31.821194,44.52868,2.7178789999999964,0.8829759999999993,3.528219999999997
40,2,96,62500,41788,816997,9.075782784892484e-05,0.0004388155007128761,9.075782784892484e-05,66110,66087,66110,66116,66116,66116,490,463,464,False,False,False,0.9596159999846461,0.8893940844048676,0.9439667465107657,9.075782786128031e-05,0.0004388155007726,9.075782786128031e-05,1.8170089999999988,0.8860409999999987,2.6687600000000025,27.7082,23.305605,24.918609,1.814767,0.8832559999999994,2.6654690000000016
40,2,101,74392,44177,863480,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999865578,0.9999999999773638,0.9474950201499195,0.0,0.0,0.0,0.029984,0.0,0.0943899999999999,0.164011,0.0008349999999999,0.205322,0.0252239999999999,0.0,0.0872979999999999
40,2,106,82078,43032,841050,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,True,True,True,0.9999999999878165,0.9999999999767615,0.9474918256929463,0.0,0.0,0.0,0.0334379999999999,0.0032129999999999,0.0929749999999999,0.165449,0.008851,0.188698,0.0289359999999999,0.002508,0.0868759999999999
