NameInstance,tot_real_time,tot_cputime,tot_lb,tot_lb_root,tot_heuristic,tot_build_dd,tot_pricing,rel_error,global_lower_bound,global_upper_bound,first_rel_error,nb_generated_col,date,nb_iterations_rvnd,stabilization,alpha,pricing_solver,n,m,first_size_graph,size_after_reduced_cost,mip_nb_vars,mip_nb_constr,mip_obj_bound,mip_obj_bound_lp,mip_rel_gap,mip_run_time,mip_status,mip_nb_iter_simplex,mip_nb_nodes
wt040_001,1.066162,0.799761,0.462369,0.564639,0.192065,0.040317,0.214753,0.037671,584,606,0.037671,185,22/10/2019,4,1,0.800000,3,40,2,56872,17048,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.343042,1.108405,0.689542,0.767998,0.285394,0.051896,0.439996,0.037671,584,606,0.037671,166,22/10/2019,4,1,0.800000,1,40,2,56872,16323,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.363109,0.962893,0.656072,0.724826,0.195958,0.039073,0.390308,0.037671,584,606,0.037671,182,22/10/2019,4,1,0.800000,4,40,2,56872,16934,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.529522,1.485405,1.118732,1.118819,0.289745,0.074290,0.922936,0.037671,584,606,0.037671,181,22/10/2019,4,1,0.800000,5,40,2,56872,17336,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.592061,1.399308,0.978450,1.063877,0.277975,0.056847,0.739454,0.037671,584,606,0.037671,174,22/10/2019,4,1,0.800000,2,40,2,56872,16964,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.858075,1.747277,1.386829,1.386918,0.289822,0.070321,1.177312,0.037671,584,606,0.037671,177,22/10/2019,4,1,0.800000,6,40,2,56872,17336,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.530983,0.390912,0.114657,0.114675,0.267382,0.000000,0.046832,0.037671,584,606,0.037671,150,22/10/2019,4,1,0.800000,9,40,2,41575,29322,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.386353,1.074999,0.732441,0.732522,0.285627,0.056628,0.510193,0.037671,584,606,0.037671,185,22/10/2019,4,1,0.800000,7,40,2,56872,17314,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.392401,1.255378,0.916981,0.917062,0.274116,0.060996,0.715553,0.037671,584,606,0.037671,182,22/10/2019,4,1,0.800000,8,40,2,56872,17310,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.177934,0.798122,0.128626,0.178220,0.595246,0.021126,0.057422,0.002283,438,439,0.002283,40,22/10/2019,4,1,0.800000,1,40,4,30526,9039,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.941609,0.761400,0.167171,0.207205,0.519987,0.030614,0.099259,0.002283,438,439,0.002283,37,22/10/2019,4,1,0.800000,2,40,4,30526,9188,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.886351,0.736583,0.098445,0.138428,0.567519,0.026405,0.026375,0.002283,438,439,0.002283,41,22/10/2019,4,1,0.800000,3,40,4,30526,8754,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.115120,0.748629,0.122085,0.172814,0.554584,0.020565,0.039288,0.002283,438,439,0.002283,37,22/10/2019,4,1,0.800000,4,40,4,30526,9188,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.890028,0.766419,0.181576,0.181630,0.557298,0.023232,0.125968,0.002283,438,439,0.002283,41,22/10/2019,4,1,0.800000,7,40,4,30526,8314,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.970903,0.844153,0.227001,0.227052,0.582245,0.030984,0.169997,0.002283,438,439,0.002283,40,22/10/2019,4,1,0.800000,5,40,4,30526,8504,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.924279,0.875251,0.261795,0.261857,0.579154,0.030489,0.205732,0.002283,438,439,0.002283,37,22/10/2019,4,1,0.800000,6,40,4,30526,9338,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.940034,0.761172,0.188678,0.188739,0.536807,0.032052,0.139806,0.002283,438,439,0.002283,37,22/10/2019,4,1,0.800000,8,40,4,30526,9338,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,0.647770,0.583270,0.037083,0.037098,0.539970,0.000000,0.012049,0.002283,438,439,0.002283,44,22/10/2019,4,1,0.800000,9,40,4,21855,11057,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,2.818464,2.338024,1.958359,1.958658,0.249186,0.000000,1.705410,0.037671,584,606,0.037671,175,22/10/2019,4,1,0.800000,10,40,2,813151,252532,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_001,1.076171,1.050352,0.405555,0.405685,0.555601,0.000000,0.333919,0.002283,438,439,0.002283,37,22/10/2019,4,1,0.800000,10,40,4,408398,94246,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.305533,1.134014,0.619078,0.697452,0.385557,0.048259,0.266801,0.002839,3875,3886,0.002839,255,22/10/2019,4,1,0.800000,3,40,2,57654,12824,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.562084,1.319502,0.843648,0.898983,0.374277,0.043416,0.486736,0.002839,3875,3886,0.002839,249,22/10/2019,4,1,0.800000,1,40,2,57654,12321,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.828014,1.655026,1.126651,1.194040,0.415483,0.044894,0.816421,0.002839,3875,3886,0.002839,235,22/10/2019,4,1,0.800000,2,40,2,57654,12856,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.481736,1.178809,0.672982,0.742024,0.390738,0.043280,0.367988,0.002839,3875,3886,0.002839,222,22/10/2019,4,1,0.800000,4,40,2,57654,12772,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,0.667730,0.627484,0.218897,0.218919,0.405839,0.000000,0.069147,0.002839,3875,3886,0.002839,229,22/10/2019,4,1,0.800000,9,40,2,39451,15444,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.985065,1.867441,1.411213,1.411288,0.391491,0.061635,1.082919,0.002839,3875,3886,0.002839,249,22/10/2019,4,1,0.800000,5,40,2,57654,14438,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,2.063461,2.019862,1.578676,1.578751,0.382690,0.055622,1.297469,0.002839,3875,3886,0.002839,228,22/10/2019,4,1,0.800000,6,40,2,57654,13960,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,1.851088,1.550089,1.098865,1.098926,0.404662,0.043354,0.780189,0.002839,3875,3886,0.002839,255,22/10/2019,4,1,0.800000,7,40,2,57654,14064,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,0.845552,0.785213,0.138954,0.164006,0.591755,0.026076,0.067352,0.000843,2372,2374,0.000843,68,22/10/2019,4,1,0.800000,1,40,4,30540,4478,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,2.004538,1.672032,1.219094,1.219147,0.388885,0.061009,0.958344,0.002839,3875,3886,0.002839,222,22/10/2019,4,1,0.800000,8,40,2,57654,14214,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
wt040_006,0.995647,0.851567,0.205923,0.227725,0.597386,0.023068,0.132936,0.000843,2372,2374,0.000843,74,22/10/2019,4,1,0.800000,2,40,4,30540,4700,0,0,0.000000,0.000000,0.000000,110.000000,0,0.000000,0.000000
