n,m,Inst,first_size_graph_AFBC,gap_AFBC,global_lower_bound_AFBC,global_upper_bound_AFBC,nb_generated_col_AFBC,opt_AFBC,reduction_AFBC,rel_error_AFBC,tot_bb_AFBC,tot_cputime_AFBC,tot_lb_AFBC
40,2,1,25468,0.0,606.0,606.0,552.0,1.0,0.4282393591790388,0.0,7.57394772,22.6147566,5.49705156
40,2,6,27343,0.0,3886.0,3886.0,526.2,1.0,0.7146692023291275,0.0,5.5741741199999995,23.50361148,3.0238253999999993
40,2,11,26561,0.0,9617.0,9617.0,1049.6,1.0,0.7797296788230966,0.0,7.16038608,24.3001446,4.9385039999999965
40,2,16,28623,0.0,38356.0,38356.0,11846.0,1.0,0.8045487894069613,0.0,114.03727583999998,131.6722158,41.95961543999997
40,2,21,20451,0.0,41048.0,41048.0,514.4,1.0,0.9999999999511026,0.0,1.55446584,19.09175172,1.5474371999999998
40,2,26,29758,0.0,87.0,87.0,158.6,1.0,0.9999999999663955,0.0,0.7272350399999996,13.748447279999999,0.7219860000000005
40,2,31,34158,0.0,3812.0,3812.0,1330.6,1.0,0.6725627963969624,0.0,16.76866776,36.94608072,12.21517584
40,2,36,31597,0.0,10713.0,10713.0,4959.8,1.0,0.8271228280904162,0.0,37.66159308,67.08201935999999,18.644964960000003
40,2,41,30865,0.0,30802.0,30802.0,625.4,1.0,0.9652421836719507,0.0,4.220452679999999,27.0678834,2.5237045200000003
40,2,46,17388,0.0,34146.0,34146.0,500.4,1.0,0.999999999942489,0.0,1.2188983199999996,19.40784696,1.2146196000000011
40,2,51,34810,0.0,0.0,0.0,1.0,1.0,0.9999999999712725,0.0,0.033399359999999954,0.14585316,0.029219999999999986
40,2,56,31487,0.0,1279.0,1279.0,379.4,1.0,0.5517642201368258,0.0,4.854695999999999,24.430162799999998,3.1895841600000003
40,2,61,34784,0.0,11488.0,11488.0,25203.6,1.0,0.7067674792805093,0.0,180.130674,210.85987956,93.10847423999995
40,2,66,34477,0.0,35279.0,35279.0,89706.0,1.0,0.7572642631099787,0.0,906.3795640800001,928.8296906399999,378.22653959999946
40,2,71,25074,0.0,47952.0,47952.0,2498.0,1.0,0.8964505064650055,0.0,21.457288919999996,43.74255192,7.131457560000003
40,2,76,31206,0.0,0.0,0.0,1.0,1.0,0.9999999999679549,0.0,0.03889835999999998,0.15560448,0.034326119999999974
40,2,81,33177,0.0,571.0,571.0,2207.6,1.0,0.6203333634559985,0.0,16.22063748,52.339552919999996,9.888437279999991
40,2,86,35968,0.0,6048.0,6048.0,2728.0,1.0,0.8815836298687282,0.0,12.72759,44.80740264,7.721615760000001
40,2,91,35659,0.0,26075.0,26075.0,531.6,1.0,0.9999999999719564,0.0,2.080916279999998,29.63896236,2.073625800000001
